Topic,Count,Name,Representation,Representative_Docs
-1,323039,-1_game_play_server_say,"['game', 'play', 'server', 'say', 'start', 'player', 'fun', 'mode', 'issue', 'crash']","['good server problem aside i think be go be good game month year come game play loop be good call be useful co op play be almost unmatched mechanic team fire weapon different type objective keep everything fresh enjoyable be great verity enemy way handle they you teamwork stratagem call they continue update game add new content keep player base engage game could be around long time bad only glaring issue i can see right now be server capacity rightfully they didn t expect game have half million people try play one time late update they have fix black screen loading now lottery system get you game mellow out i can not see many issue game i leave out lot great concept be game leave it up you find they out liberation planet how all diver work together same goal i hope help some people decision hopefully ill see you out spread democracy', 'i would say problem be entirely you doesn t mean fact you hate game s design be invalid you re allow not like game it encourage you do you re allow think decision capcom be wrong you your playstyle they be other people who enjoy game complaint decision be right they ll enjoy it you re allow continue like resident evil franchise you never finish particular game sure evidence my mind video game be form art be be no objective answer why game be fun because it depend much player enjoy what be create it do developer who create it i think key factor be recognize you don t have like game because you start play it you can try let go personal compulsion be lead you dislike play game you can stop play game find something else you do enjoy you can suffer through it s your be no obligation worry less who blame do what you need do have fun', 'game not worth play anymore its own one most greedy company s know man they be only after your money they do not care one bit player security actual state game cheating be all time dev s want sell sell sell do not support dev s decision push predatory practice upon we they have now go back all their promise t aren t fix game it well more fun experience they wanna sell recolor skin they we free i m ok they money fix game game bad state its ever be they refuse speak know problem like terrible server cheater bad audio terrible matchmaking list go they continue break their promise past they will never do again they be fire more more people have ai do work why should we community support they company their word not what they say promise we list go what community would like see fix they will not speak anything all care be our wallet not state game its insane how greedy they have become']"
0,129034,0_playstation_ubisoft_sony_steam,"['playstation', 'ubisoft', 'sony', 'steam', 'game', 'refund', 'account', 'pc', 'review', 'play']","['i buy game steam intention play it steam i do not now nor will i ever have playstation account force player link be ban game month after launch be unacceptable i would refund i have opportunity do honestly absurd behavior arrowhead update sony have now walk back psn requirement they have block game be purchase any region doesn t support psn which be close 170 country my review stay negative until all helldiver can dive', 'tldr great game great devs terrible publisher publishing decision 05 03 update require psn now after month release game function fine it be bonker yes i know it be store page it wasn t incorporate word mouth other factor lead many buy game can now likely not play it all because they can t create psn account no need link account unless you have cros progression which they confirm isn t come top all community manager be flame user discord want change someone ask change say lot steam user be go leave unless they backpedal community manager spitz s response i think you be refund leave 05 06 update sony change their requirement link psn account pc change review back positive arrowhead s community manager shouldn t have act they way they do they be tough spot popular game large portion their playerbase upset no ability change psn link policy 05 10 wish story be day after sony revert change they haven t revert story change have extend playstation game purchasing restriction steam other game you can no long buy helldiver 2 region psn be not allow requirement be drop arrowhead have be work resolve sony hasn t revert change yet original review great game more content add regularly you re play live campaign other player progress real time be control one person development team definitely some aren t balance game be great friend small group good all everything be earn able game be premium currency you can purchase you can easily get it game well', 'i love game it deserve way much well than what be fire now i have no issue create psn account game sony psn mandatory play after month prove not necessary game function sell game country psn not available know before hand cross line i i will keep play game until day it cut i off link psn review will stay negative until decision be reverse seem be only way let sony know practice be unacceptable great game arrowhead off sony edit no move forward i guess it mean cancel sony should re list game possible']"
1,69913,1_gameplay_overwatch_battlefield_game,"['gameplay', 'overwatch', 'battlefield', 'game', 'cs2', 'play', 'fallout', 'combat', 'halo', 'grind']","['i have have ton fun game i love it piece every time be new update war bond i hop see nothing worth money i spend game every balance change game feel realistic which be opposite feeling you want game like i want feel like effort grind it i get high level be worth it every non meta weapon be either way too specific be bad i m beg you please stop we new toy nerfe they ground stop we weapon be bad than already exist weapon example why epoch gas spear spear doesn t get reason it be create please stop add enemy either rag doll you way too long spit many stunning insta kill projectile possible what be heavy armor you can always die one hit anyways direction game be go i lot other people upset realism do not equal fun many unlisted reason i simply can not recommend my close friend buy try game because i long time enjoyer game can t have fun game bullet deflection rag doll die no casual gamer should consider jump sink ship like tldr i get game since it come out iv e be play ever since stop ruin my favorite game nerfs add have no', 'i have be third recommendation choice i wish it be i m not sure i do enjoy game community have grow it adrenaline rush often time tense situation you ll find yourself i can t finger why i can t play more than 2 3 game session it could be due play random it could be because clunky control it could be because sometimes genuinely blod boil friendly fire i think its simply honeymoon period have wear off i have great admiration dev team what they able do what be fact indie game i look forward future update content drop it stand i can t have fun game weapon aren t fun s one two gun worth rest feel like pea shooter you unlock new gun it mission have zero impact you feel like hindrance s pretty quick way fun be suck out game progression fresh battle pass need be rework some enemy feel like they be power stalker example have too much health deal much damage all be invisible fast charger be out right annoying be way counter they expose flesh their front leg it feel like 99 weapon can not expose flesh you have resort do donut around they shoot they butt it could be case skill issue amount time i ve see leg flesh expose match lead i believe i m not only one who doesn t bother try i can recommend game it be fun especially you ve group play solo player know you will grow bored i hope addition rumor new faction will bring some life it i m bored bug bot', 'overwatch 2 my opinion be 1 most stress game you will ever play your life be my prediction current state what overwatch 2 be like be start become next league legend community what i be gather like it s sad why i want quit game i ve have lot fun i come back every once i guess it s be well game overwatch 2 now overwatch have much potential be well team fortress 2 now isn t bias they completely mess up tf2 be now objectively way well than overwatch now because they have more player well review well lore way more fun mode both community be toxic tf2 do have its bot overwatch have balance problem rework hero lock behind battle pass which mean pay win tell you truth right microsoft will help game overwatch 2 will only do it temporarily you re go keep play game overwatch will continue focus their monetization not core value game you want play fun game instead tf2 play rainbow six siege you don t like tf2 developer siege have be do good job listen their fan yes siege have be break past today they have wide roadmap it s evolve well state they have create new reputation system toxic behavior they don t like ximmer console it have be bypass be they address it listen community s problem i say siege be more toxic back than now it s overwatch s more toxic than siege today be forum create i because i want see what other people play now since be game other go insane stress fk out what do you do now guy']"
2,46621,2_tank_nerf_buff_skill,"['tank', 'nerf', 'buff', 'skill', 'matchmaking', 'mercy', 'heal', 'rank', 'team', 'ability']","['my belief 5v5 it come out be admittedly rather negative start damage main most match seem i be hard tank diff which could be explain concept tank counterpicke i didn t realize be prevalent time after which rest team would get roll tank after i come back after long hiatus notably after damage passive be introduce season 9 i feel lot well game overall other be not happy change after some additional research subject content creator such flat get different point view i think i ve come up potential change could be interest first my philosophy behind idea boil down few major point tank counter shouldn t be pronounce tank should be able 1v1 damage hero most situation tank should not be able 1v2 damage hero most situation short i believe tank should be more powerful than damage hero vacuum be approximately equally match against each other vacuum should not be able beat two separate damage hero same time vacuum ult would be exception next general change i would propose low tank damage against other tank healer buff tank damage specifically against damage hero nerf damage passive its own it it stack first change be mainly intend address hard counter be prevalent tank gameplay whereas second third change be mean compensate change enable tank 1v1 damage hero who aren t be heal finally third change would reduce power single damage hero highly encourage two damage hero team work together down bulkier target who be be heal i d love hear thought since i don t think specific idea have be out consideration yet i may be way off base i could be something let i know', 'no one game like play against sombra no one be not single role game like play her not one fact she be always always invisible do not help all i refuse play tank support simply due her existence any misery tank suffer game be compound enemy decide pick she stick your team never go alone do you know how many be go once game every flanker game i can hear they see they come not sombra why have she be rework many time why have she be hero tinker most since launch because she do not belong game ability remove ability ability base game do not sense invisible character do not belong game visual audio cue be vital know know character will get rework again because how terrible her gameplay design be', 'you have get stop base all your change off win rate you need understand what s go your game deep level your player can help you understand it s be prove time time again developer player feedback heart well game alec dawson seem be base all balance change off win rate s all he ever bring up interview his last interview he say something like we didn t all see ball move meta like he have wow unexpected he s good he look look his win rate think ball be good ball be not good he s d tier every other tank be f tier d tier tank do not move meta because he magically become good any buff other tank he move because dps passive 20 healing debuff all slow tank all time it s incredibly easy dps pressure tank hard they barely have any time stay fight long enough do much all only reason they stay out fight any significant amount time before be because healing keep they now it doesn t all slow tank have move down f tier d tier tank become meta because he s fast can move out fight fast than slow tank can you all tank small window stay team fight ball can get more value small window than any other tank because he s fast late patch you only buff hog window opportunity disappoint tank role be life support']"
3,22613,3_cheater_cheat_cheating_hack,"['cheater', 'cheat', 'cheating', 'hack', 'hacker', 'ban', 'play', 'game', 'player', 'blizzard']","['game have much cheater valve fix anti cheat', 'like play cheater be game', 'cheater more cheater more cheater they do nothing cheat its sad i have play game i run cheater every game what good game it could be i sit look my screen get headshot csgo be joke devs suck they do not do cheat let people do it its almost embarrassing triple aaa title many people play be full aimbotter wall hacker dumbass straight up cheater devs csgo see i want you know game suck ability ban cheater be bad out whole gaming community need do complete reset possibly ban thousand thousand people']"
4,12273,4_mentally_mental_game_sanity,"['mentally', 'mental', 'game', 'sanity', 'health', 'play', 'addicted', 'depression', 'quit', 'addiction']","['game be not good your mental health 10 10 install now', 'don t pick up game you will get addicted play it all day long lose your life you will not enjoy game', 'you value your mental health do not play game']"
5,11291,5_buy_purchase_refund_sale,"['buy', 'purchase', 'refund', 'sale', 'sell', 'game', 'play', 'gamble', 'spend', 'pay']","['you game i buy unplayable i can not get refund', 'you have money buy it', 'buy game do not get game']"
6,8474,6_fifa_play_gameplay_game,"['fifa', 'play', 'gameplay', 'game', 'ea', 'football', 'player', 'defender', 'defend', 'career']","['have play every single fifa title beginning i can safely say after many hour game be bad experience any fifa fc title i ve ever play be not come back ground someone be salty because i ve lose match come player who play ultimate team mode every single year my problem be not menu game play its bad date many problem game play i play mainly rival squad battle i do not touch weekend league due know how connection effect game play during weekend slow player slow reaction not worth my time i avoid all cost rival i have admit i keep myself low division i can get get out too many game break mechanic will drive you mad now squad battle which i have always enjoy year year be now riddle problem too ai no matter what level you play against be too strong your player push they easily off ball ai run around back line you be 4 up do anything they can keep ball game be cod try stop you all cost score 5th goal you do not get max point i could continue write many flawed problem year game i m go leave it uninstall rest cycle honestly guy do not bother year go play something else your mental health game will honestly you padded cell', 'i ve be play every fifa since 15 i ve never my life see more buggy fifa all my friend quit year after play like 2 month i it chance january because its game i grow up come conclusion its impossible enjoy game every part game be buggy trash day career mode be always get bug career mode ut win ball no reason because they will always get rebound they don t know how fix it club mode be suppose be one good upgrade year be bad part game your character look funny its fun game play ruin everything do not waste your money hand down bad fifa ever pc transfer market be terrible you do decide waste your money get it console', 'i would love get admin fifa i will be disclose full review ea sport fc 25 1 game be bad i try lt button sprint they have nerf it other player get good game i think personally be bad you can ever do any fifa game all year i ve play fifa my life have be bad fifa i have ever play i ve be play fifa since fifa 10 ect i think worst bad nerf have be shoot i can not finese shoot anymore anyone what be purpose nerfe every mechanic game 2 game be bad fact divison rival have become stupid unfun sweaty i load rush battle 100 time my teammate be glitche automove they don t have play automatically i man down everygame fix your game ea 3 game be bad you ve manage ruin fun game i will not be buy anymore fifa game i should buy 70 worth food walmart because feel like i waste money 4 i reccomend no one buy garbage game because ea be good ruin game not good one']"
7,8459,7_bugs_bug_buggy_robot,"['bugs', 'bug', 'buggy', 'robot', 'kill', 'patch', 'quest', 'glitch', 'bot', 'devs']","['only good bug be dead bug robot', 'kill bug nuke bug shoot bug airstrike bug kill robot wish i be kill bug', 'only good bug be bug']"
8,8414,8_democracy_democratic_vote_government,"['democracy', 'democratic', 'vote', 'government', 'spread', 'commie', 'liberty', 'citizen', 'kill', 'die']","['you need play game democracy', 'spread democracy one bug time', 'i kill bug democracy 7 10']"
