Topic,Count,Name,Representation,Representative_Docs
-1,320904,-1_mode_server_start_crash,"['mode', 'server', 'start', 'crash', 'player', 'kill', 'fun', 'update', 'recommend', 'say']","['i have approximately hour total multiple account present be fundamentally ruin it stand now prior it become cs2 i be dedicated player both term mm third party service i e esea faceit have definitive experience it be go experienced player new one you know what exactly expect mechanic wise s no long case experience deliver be infuriatingly disappointing compare its predecessor least i its completely disillusion i whether its blatant cheating boost exploiting break mechanic lack player feedback most influential first person competitive shooter be suppose be benchmark all other be towards end go it be dependable it be enjoyable formulaic competitive experience it be fun spectator perspective hasn t change much what you witness high level be far above experience you have its disappointing instead fix interpolation latency anti cheat anything else nothing be fix be fix such abysmal rate public mode lobby be fill spin botter case farming bot be completely empty peak hour instead time sort issue out through public test previously do valve set deadline suppose insurmountable task replace go all they need do be update graphic implement mr12 subtick hasn t enhance gameplay experience nor have it detract it much either more than anything its lame duck because experience i have no desire whatsoever none all almost every conceivable aspect besides graphic smoke have do nothing excite i i desire solo queue 5 stack friend its impossible afterwards feel fulfilled any form enjoyment instead your meet feeling waste time waste effort frustration no reason other than you should enjoy would have enjoy before i wish it wasn t case it be die many people', 'gameplay be incredible exploration be fun keep i chug through issue i not recommend it overall i think be enjoyable i wish it be functionally well possibly well think out begin end point i think be piece meale issue bluetooth controller disconnect what i ve be see be wide spread long term issue i m xbox controller it work fine day 6 hour approx total time than after it will do what everyone say disconnect repeatedly be out active i can be combat controller will dc 1 3 second i could be phone be not acceptable modern age gaming bluetooth compatibility be normal their should be warning case bt isn t possible controller curb any player issue point since concern be 2 year old least aim ability aim certain situation can get you kill be complete pain it s usually water steep hill camera sharp first person zoom due terrain shift during combat can turn your health zero your not open territory constantly move you stand second get catch terrain shift mountain range aiming have big chance screw up blind you water you simply can t look all way up how you swim be how your view be doesn t change you stop your eye technically always look forward upward view be always limit comparison lower doesn t sense you come complete stop water try look up stand shore be suppose have full upward view another word build water be minimum annoying i rage quit frustrating conclusion you get far exploration mining character story be my favorite aspect combat controller support technical support behind be bad it seem like be build console we get what be leave pc', 'i only because my friend balance be nonexistent they patch one break two other classic blizzard hero like ball genji be op post nerfs stadium mode be mess unbalanced perk bot hack be everywhere like s no tomorrow mass ban 1 m since cheater return hour vpns don t get i start competitive matchmaking pit you smurf casual you be not new match cancel because you breath after wait long time people get disconnect all time it be good some point nowadays well long people i know keep i will unless bs cross my limit dx12 be well avoid it new feature server fail you get bonus penalize good it s well optimize run toaster it work map be polish no stuck anywhere far i remember stadium perk add replay value alive update 30 10 whatever be do performance now its joke thank i uninstall finally i m do ow2 be huge rig']"
0,106855,0_nerf_nerfe_blizzard_overwatch,"['nerf', 'nerfe', 'blizzard', 'overwatch', 'buff', 'team', 'rank', 'dps', 'enemy', 'tank']","['have cool mechanic be fun only you have premade team matchmaking be bad i ve ever see any pvp you want have fun check out other one be two type match either your team prevent other team leave spawn you re team have no chance it feel like matchmaking pair team completely different skill level i m talk competitive lobby course i don t want see how bad regular match be you think they will fix they win t i season 1 stop because now it s season 17 18 matchmaking be horrible', 'ok be absolutely amazing most people forget you be suppose be squishy human overrun enemy not some supersoldi can kill everything one shot you have much problem try lower difficulty get well many people be bully devs more realistic good balance decision like flamethrower be not anti tank weapon they be defense weapon cause team coordination be necessity you aren t suppose be able solo level ten difficulty you need teammate varied loudout coordination succeed you will die s reason you have 20 more life i do feel some nerf be little unfair we can move i mean devs be engine s be outdate 6 year bug be go be code anyway you read it all you mind people who be ruin go ahead rip i up comment because i don t share your opinion have now reach be sit around intended player count it s not dead devs be not try kill it they be actively try fix it', 'helldiver 2 be quite possibly one most fun i have see come out last few year gunplay feel great it i some get most stratagem be viable enjoyable any difficulty right team setup endless wave enemy bring right amount tension course friend fair share funny moment now time write be quite suffer success one million copy sell server backend coding be struggle support devs have introduce cap 450k player any time least ensure who be don t have serious lag issue cap be increase time they get equipment change need support it time it suck it be what it be bother you wait few week issue be work out buy some people may say well why didn t they already have server they should have plan helldiver 1 only have max 7k player it s peak majority helldiver 2 s sale have be post launch they couldn t have possibly imagine level success franchise history preorder alone nobody can see future after all say i my promise once be capable support everyone who want it you will have blast bring manage galaxy crush bug bot alike you don t i will you firm digital handshake edit 5 4 well i will say i enjoy itself company unreliable lack security sony isn t go be trust my datum how frequently they get hack i wouldn t trust they bare minimum info i mean ffs my old psn account i be kid get i email be access i haven t touch it year edit 2 5 5 sony cave up anyone link their account good again']"
1,85971,1_playstation_sony_ubisoft_account,"['playstation', 'sony', 'ubisoft', 'account', 'review', 'pc', 'purchase', 'buy', 'psn', 'access']","['have be immensely fun amount time i have it along friend achievement hunting feel good most they be gain you only few need you go out your way most case its aaa do right loom issue be requirement link psn account order go forward many other review have state sony s reasoning be security we all know their security history i don t have playstation never plan get one be no need i have psn account i don t need another potential security risk connect i be amazing it last all good come end corporate greed sony s side have once again poison great i hope sony roll back decision hope arrowhead doesn t work sony again reason it hurt have leave negative review until change be be what i will have leave edit 5 5 24 11 pm cst sony have back down walk back their poor decision i can now return recommend friend one more victory right side history edit we never get our review bomb cape', 'fix my review positive go leave og one important reminder everyone we consumer can be hear giant corporation like sony big respect ah their whole team deal leave bad review since they be force we psn account continue it be optional beginnning no information it would be require later another great ruin sony greed i have never will never own playstation why should i need psn account have be many hack have leak user personal information datum psn account be no way i will ever one many people can not account due they live will they exclude they requirement will they not be able either way it set horrible precedent future sony', 'point time i do not recommend don t get i wrong be great one good beat all aaa out right now spread manage your mate fight through trench space nam be beautiful time sony be not great not only be sony force we link psn account they be punish country no access psn unavailable they sony do what they do well ruin something great flame manage have once again be snuff out edit 1 sony have state link psn account be no long require i m wait their decision de list 180 country edit 2 nothing have change']"
2,18804,2_hate_suck_don_bad,"['hate', 'suck', 'don', 'bad', 'you', 'kill', 'wanna', 'its', 'do', 'it']","['i hate it suck bad i almost up everything because it please do not buy cod think we like it because we do not yes i m speak you get it be bad like bad i would not wish upon my bad enemy devil i hate devil not much i hate please do not buy i would have rather pay get torture jeffery dahmer beat up mike tyson i m be 100 serious do not believe i well you should oh do i mention how much i hate i can not remember yes be bad it i memory loss sad part be i can not loose all memory trash which i hate it suck would be real prize i warn you suck goodnight i hope help', 'it suck i hate it do not it', 'you hate you bad it']"
3,18769,3_crash_pc_gpu_amd,"['crash', 'pc', 'gpu', 'amd', 'cpu', 'ram', 'launch', 'issue', 'fps', 'unplayable']","['seem like great it need be optimize more i have solid pc run almost everything 80 degree it do go up i be able change setting get it check no matter how low i change setting it be throttle my gpu everywhere its my pc work hard i go online extensively research different method lower temp change native mode help most i m spike hit 100 degree low setting low fps please update optimize i know its possible my pc can run do not crash i roll high setting i value my system much more try get hd experience ps5 can run well my pc should have issue', 'every update keep crash something get nerfe break my pc spec be i7 13700k 32 gb ram 7900xtx gpu be no reason hardware can not handle high setting i be have reduce resolution keep stable current new fire warbond have now be unplayable my pc will randomly crash black screen it ll restart try reinstall old gpu driver it don t work why do player have reonfigure many setting hardware every other work fine high ultra setting', 'be great it now crash my computer it turn f off start mission crash it past start it crash extraction it wouldn t only crash i whole lobby i m run funniest be would happen few time ok no problem after update patch note state fix common crash it start crash every mission fix yo look you arrowhead i will change review 10 star i can session crash']"
4,14491,4_cheater_cheat_cheating_hack,"['cheater', 'cheat', 'cheating', 'hack', 'hacker', 'ban', 'player', 'kill', 'than', 'blatant']","['cheater cheater more cheater enough say', 'cheater cheater i hate cheater', 'they be not do cheater']"
5,13161,5_grind_gameplay_terrarium_lore,"['grind', 'gameplay', 'terrarium', 'lore', 'evolve', 'quest', 'drive', 'life', 'beyond', 'eargasm']","['graphic you forget what reality be beautiful good decent bad don t look too long it ms do gameplay good good it s gameplay mehh watch paint dry instead don t audio eargasm good good not too bad bad i m now deaf audience kid teen adult grandma pc requirement check you can run paint potato decent fast rich boi ask nasa they have spare computer size floppy disk old fashioned workable big will eat 10 your 1 tb hard drive you will want entire hard drive hold it you will need invest black hole hold all datum difficulty press w easy easy learn hard master significant brain usage difficult dark soul grind nothing grind only care leaderboard rank isn t necessary progress average grind level too much grind you ll need second life grind story no story some lore average good lovely it ll replace your life time long enough cup coffee short average long infinity beyond price it s free worth price it s sale have some spare money leave not recommend you could burn your money bug never hear minor bug can get annoying ark survival evolve itself be big terrarium bug 10 1 2 3 4 5 6 7 8 9 10', 'graphic you forget what reality be beautiful good decent bad don t look too long it ms do gameplay good good it s gameplay mehh watch paint dry instead don t audio eargasm good good not too bad bad i m now deaf audience kid teen adult grandma pc requirement check you can run paint potato decent fast rich boi ask nasa they have spare computer size floppy disk old fashioned workable big will eat 10 your 1 tb hard drive you will want entire hard drive hold it you will need invest black hole hold all datum difficulty press w easy easy learn hard master significant brain usage difficult dark soul grind nothing grind only care leaderboard rank isn t necessary progress average grind level too much grind you ll need second life grind story no story some lore average good lovely it ll replace your life time long enough cup coffee short average long infinity beyond price it s free worth price it s sale have some spare money leave not recommend you could burn your money bug never hear minor bug can get annoying ark survival evolve itself be big terrarium bug 10 1 2 3 4 5 6 7 8 9 10', 'graphic you forget what reality be beautiful good decent bad don t look too long it ms do gameplay good good it s gameplay mehh watch paint dry instead don t audio eargasm good good not too bad bad i m now deaf audience kid teen adult grandma pc requirement check you can run paint potato decent fast rich boi ask nasa they have spare computer size floppy disk old fashioned workable big will eat 10 your 1 tb hard drive you will want entire hard drive hold it you will need invest black hole hold all datum difficulty press w easy easy learn hard master significant brain usage difficult dark soul grind nothing grind only care leaderboard rank isn t necessary progress average grind level too much grind you ll need second life grind story no story some lore average good lovely it ll replace your life time long enough cup coffee short average long infinity beyond price it s free worth price it s sale have some spare money leave not recommend you could burn your money bug never hear minor bug can get annoying ark survival evolve itself be big terrarium bug 10 1 2 3 4 5 6 7 8 9 10']"
6,12638,6_server_multiplayer_queue_capacity,"['server', 'multiplayer', 'queue', 'capacity', 'hour', 'connection', 'friend', 'load', 'unable', 'connect']","['be good now server be all time bad', 'gameplay be fun chaotic it be amazing their server be not up par last 3 day i ve be sit title screen stick server capacity please try again later well i m try please up your capacity 3 hit no until i can consistently do understand gameplay be phenomenal its server be problem edit server have be work fine past few week they add mech s be wild high recommend edit be week since i review it have get bad you guy need up your server be get ridiculous', 'would not recommend buy until they fix server have up try log 6 hour server be full']"
7,11176,7_earth_planet_super_kill,"['earth', 'planet', 'super', 'kill', 'treason', 'enlist', 'helldiver', 'war', 'die', 'patriotic']","['not be treason against super earth', 'can not stop super earth need i', 'you re not spread manage super earth what be you do your life']"
8,10281,8_bugs_bug_buggy_robot,"['bugs', 'bug', 'buggy', 'robot', 'kill', 'glitch', 'nuke', 'bot', 'bomb', 'update']","['bug robot kill bug robot your fellow helldiver', 'i see bug i shoot bug', 'kill bug robot your friend']"
