Topic,Count,Name,Representation,Representative_Docs
-1,289403,-1_game_play_cheater_say,"['game', 'play', 'cheater', 'say', 'player', 'can_t', 'kill', 'fun', 'be', 'know']","['i ll keep short sweet possible disclaimer i ll turn review around once devs fix asinine s t exist game game idea itself be good gameplay be fun bug aren_t encounter dedicated_server be relatively_easy setup you have server host knowledge s fun stop i once everyone honeymoon copium mask off i think player will realize bug be tolerable become mega frustrating your gameplay hour go up why do ai mon suck bad your base why do i need restart dedicated_server get mon unstuck why new patch 1 3 do mon now not know do task they only have one task they can do why do dupe boss catch bug exist what be change fix patch besides break more be lot small change wernt note patch_note devs please fix bug exist i don_t_care pay my own be your glorify beta_tester early_access game imho should either be free player get charge once official release be out keep play idea early_access need be remove period whole grey_area well you can not ask refund because game be technically be develop you know mindset need go die fire i spend money advertise product deliver i advertise product free impurity otherwise do not ask my money say product s business 101 you buy something box store open it up it be break do not function be defective you can return it get back why be video game any different tl_dr fix bug be your game play don_t_charge player money be your beta_tester communicate player_base all your change patch all money you weekend hire help', 'i change my review because i think little more need be say besides short sentence i write main reason be hacker game be because game company stop support game long time ago support care hacker be near extinct its not already alright first game be fun reason it die be because start release year_ago have massive micro_transaction it get anything cosmetic horrendous leveling be much slow it have number bug mostly connection_issue top it such major op hero abuse you would think experience order 66 be dream top it they than stop support game abandon it due teh player basis intense hate mostly toward micro currently game be state almost could not be well map be fun you can get any cosmetic you can play game normal pay money they big w besides radar they add new hero new movie its not big because be other hero would probably be well personally i like old hero well meh cool regardless like new movie hero game have fun', 'stay_away game after 100 hour play primarily single official_server i be all sudden kick game come_back it ask i create new character i go discord find out what be go apparently they be delete people account be server hacker come because developer can not program can not keep cheater out game someone cheat it be not you you can lose everything consider time it gain all construct basis do not waste your time it have now happen second time hacker come delete everything my character weight 600 something do no waste your time game developer do not know what they be do you will lose everything you do not believe i go discord discuss hacking game it be out control bad than any game i have ever play you will lose countless_hour gameplay because developer do not know what they be do']"
0,99404,0_playstation_psn_account_sony_ubisoft,"['playstation', 'psn_account', 'sony', 'ubisoft', 'ea', 'account', 'can_t', 'pc', 'access', 'support']","['update sony say they would revert change i m go keep rest statement seriously fun game long publisher stop do dumb sony launch thousand user link their psn_account their game it would prevent game launch they not able play once be fix you wait people get invest force all user link their game psn_account sony be barely able do due legal loophole steam s eula valve see through your effort allow all user get refund not mention psn agreement region console lock game lot user sony have chance be publisher potentially game year rate game be go now they re lucky they keep 1 5 their user base million potential revenue they lose i m not refund game since i have buy half dozen copy friend it doesn_t_matter i wouldn_t_want my review suppress i want support developer who do great game sony undo change fire executive who support decision you could have be such big well company you stop outdated act go completely against market', 'edit arrowhead have develop good version friendly military experience starship_trooper fan terminator fan halo fan not only do they provide such nostalgic gaming_experience be never end upcoming update new game feature play mmo dungeon dragon type shooter game its developer versus player old review battle against playstation_network game will require you link your psn_account steam order play continue play i do not own playstation psn_account i have no intention ever own sony product again sony ban my psn_account account i have be 11 year i have never receive warning i assume it be only three day ban network_error they permanently_ban my psn_account my user i d i lose everything i contact psn customer_service verify why they say my name be not offensive it do not violate any term service because it be permanant ban they can not change i can not link account fast_forward we be now require have psn_account continue play you computer be not own operate sony steam network which be not own operate sony top it off i receive check mail week from_sony_picture entertainment amount 31 24 why because data_breach they sell my information third_party be two reason i will no long be play game because they ban my account no warning reason they sell your personal_information nickel i figure i be worth more than 31 24 sony keep all profit sell my information lift ridiculous psn_account_link requirement i will not be play game ever again', 'edit2 major_order_complete we helldiver arrowhead have manage defeat sony nothing respect arrowhead ceo he be probably only ceo truly have earn my respect how he have be handle everything edit sony have attempt hide fact psn be never require fact accord their_own site before today 5 3 they say outright it be optional see site back march look current one game itself be great sony have decide everyone need link psn_account play game pc why security note sony be notorious have extremely weak datum_security have be hack numerous time be zero valid_reason why sony need have you link psn_account more than likely sony be scared their investor see their number drop due whole stellar_blade censorship fiasco be attempt pad their number force helldiver_2 player link psn_account safety security what all player should do be simply not play until sony decide double their functional braincell 1 2 step down their entire case be completely_nullify fact anyone can throw away email up psn_account never_touch it again do absolutely nothing help safety security player be amazing game sadly sony be run incompetent people who know nothing have no care community you read arrowhead know sony can will betray you it mean they will get extra 25 cent']"
1,86940,1_play_game_overwatch_heal,"['play', 'game', 'overwatch', 'heal', 'nerf', 'nerfe', 'buff', 'support', 'tank', 'player']","['decent game funny too i say decent because i can not see game all map be cover some_sort thick fog some say its some_sort spewer compare my friend they can see 50 m i can barely see 2 m i do have old computer i do meet all minimum_requirement i can play game i have strain my eye squint play i have only be able extract difficulty 2 3 high always fail extract i can barely complete mission 3 some say its because i be not play other sure ill do we win difficulty 9 mission more like i be baggage bait i might barely break 100 kill i be my friend s not i be turret i bring since they can see enemy i can_t i wonder it because i play television instead monitor be it because i have laser eye surgery my past be hard see i have spend long time fiddle my setting no real way see game after couple run i have break since my eye start hurt real bad i understand its create foreboding atmosphere add some surprise horror yet you can_t see what s kill you all see death screen its like frustrating i always feel like i be drag my team down i not want play might be me you do not have seeing issue accord my friend be great game good_luck edit not much change vision front new update have some_sort problem i can not connect friend all validate game seem have single file always miss i would have launch game close it validate game some reason its always 1 file i wish it tell you what file it be we can see be workaround see how game size be get large validating process be get long before i can play friend', 'we never doubt your ability properly balance game week game have be terrible play 1 hero be sole_reason it once mauga be pick all other tank become_obsolete be no playing any other tank than mirror mauga game i would not have anything against it hero require skill bad be he be one easy hero play easy tank play do not we want diversity pick not long ago because yea be exact_opposite it would be situation since we all know be no way he will be remove game i think its perfectly reasonable suspend he competitive until he be tune properly currently he be what goat be once upon time play objective high sustain punish close combat pick team around he nothing counter such composition', 'lot people know now hd2 be huge success what lot people specially other devs don_t_realize be why hd2 work hd2 initially set you up game propaganda common_goal you immediate reward finish mission other game like gta sea thief support grifting bully game more difficult game have none game force you cooperate you don_t_do your goal ok game you no reward you lose your time you be idle leader team can kick you out any time no explanation you shoot companion entire team can shoot you back you bug fodder simply they win_t cooperate back it difficult you comply any goal end you team any grievance very_least you can expect entire team leave planet you bad all game be hard fair since enemy be always tough ever other game enemy be walk park enemy will constantly swarm you your ammo will deplete time will run out you will lose all your reinforcement high_difficulty be torturous try do mission yourself you need cooperation last_night we play guy who have play game dozen time day alone already he be full himself say leave right complain_about efficiency everything he be help we out all around he didn_t_even complain someone accidentally shoot he guy do apologize thank he we finish mission time leave no one behind guy would have be nightnare be competitive game none we could have be able dent he instead we all have great time he get death most kill i think be what other developer be miss cooperative experience anyone can enjoy guy who log entire day work day who only play night they all leave feel they difference advance far common_goal could be what we need mp game future']"
2,49023,2_crash_game_unplayable_black_screen,"['crash', 'game', 'unplayable', 'black_screen', 'play', 'launch', 'restart', 'server', 'problem', 'issue']","['crash crash fix your f game', 'unfortunately i be unable play game whenever i reach data_collection area after click accept game will either immediately crash b will look like its loading 10 second crash game be out long bug should be fix i look it up unfortunately bug have be game 5 month i will not be able spread_democracy until be fix i have see some remedy internet like remove certain file run it administrator only i have not try be download repair engine which i m not go attempt please fix bug we can get more helldiver i have spend 40_minute attempt fix error to_no_avail you have any other fix please comment they below i d genuinely like play game', 'one good game i have ever play some most annoying roadblock constant server issue constant multiplayer connection_issue constant fix seem get no you spend 40_minute try complete mission receive no reward i hope they figure it out soon either way i will up it because game play be good game be unplayable i do not understand_why i can not play game i have not be able play any multiplayer match what ever it work 2 week it stop out no i have try everything play check file_integrity uninstall reinstall i have try all internet issue i do not understand how it be break it be fun it last it be not worth money i have spend']"
3,31356,3_democracy_spread_democracy_democratic_manage_democracy,"['democracy', 'spread_democracy', 'democratic', 'manage_democracy', 'spread_manage_democracy', 'liberty', 'freedom', 'fight', 'war', 'treason']","['fight democracy good kill more', 'only good bug be dead bug true freedom democracy', 'i love democracy bug robot']"
4,24892,4_play_don_t_play_game_suck,"['play', 'don_t_play', 'game', 'suck', 'hate', 'bad', 'say', 'terrible', 'fun', 'ball']","['do not play bad game', 'game be do not play', 'game be bad do not play']"
5,20387,5_cheater_anti_cheat_cheat_cheating,"['cheater', 'anti_cheat', 'cheat', 'cheating', 'hack', 'ban', 'hacker', 'game', 'player', 'play']","['many cheater ban no reason', 'good game ever ban cheater', 'do not play every game have cheater']"
6,14142,6_rpg_gameplay_play_quest,"['rpg', 'gameplay', 'play', 'quest', 'game', 'explore', 'side_quest', 'fallout_4', 'fallout', 'boring']","['i can not recommend game all i get it 12 49 which isn_t_to bad i would have be disappointed i d pay any more it i enjoy combat why you can only have 4 spell your current slot have scroll between they be annoying i guess it sense console pc it should be 10 spell surely be couple decent quest be fun majority be boring bland main_quest be all boring explore world be good kind annoying you go around explore can not do certain puzzle open door because you haven_t_unlock spell yet you end_up wait until 2 3rd way through game before explore which feel wrong you want look around area you be currently professor npc s be all pretty cool unique you don_t_have much interaction they all you be mostly force talk other student npc s which i didn_t_care slight everyone be friendly new kid s no rival anything slytherin student be nice you you have no back story all what your family what happen you be choose be hogwart 5th year overall game be ok i would not recommend it anyone fan of_harry_potter i find game underwhelming', 'get game sale have some fun go through hogwart land be prepared both love hate some aspect game good part story be great harry_potter ish despite some weird detail like start hogwart 5th year student be well magic than anyone around lose side story quest some unexpectedly good one hogwart be mostly faithful movie book rest map be great explore fight be challenge first voice_act be pretty good care fantastic beat be engage you like sort s only one choice can affect story choice be memorable conflict result be pretty disappointing whichever choice you bad part be all feel rush game wasn_t_enough time fully develop they little interaction other wizzard environment it s like they try do red_dead_redemption 2 copy mean mobile it s far rdr2 dialog be like cheap mobile game fix dialog camera bunch basic animation script together i d have skip they all i wasn_t_play someone_who want know everything story you get ask load detail life everyone involve story they never ask you anything you you know nothing your character some mini game get pretty annoying like alohomora unlock doesn_t_make much sense get irritate you find lot gear you end_up sell which be kind waste time fight become far too easy you level up rescue fantastic_beast free dark_magic no sense', 'game playable at_least what be playable be extremely shallow i can_t honestly say it s worth price get sale not miss much you don_t edit be write dumb way because i couldn_t properly figure_out my thought game look back feel reductive say it s shallow it s obviously deeply detailed game lot go lot ultimately i probably didn_t mesh super well during story i find_myself get it world character action i find world people it extremely compelling up until point it feel like story start end right they feel they be get start i understand i be expect more than be ever go be case like panam s story it feel like get cut short ultimately leave i feel deeply unsatisfied through it all lot thought come up again towards end story i ask myself it feel like it be worth go until end dlc be fun feel like lot same it can_t be understate how much work have go game especially recover initial disaster launch end_up gameplay be fun i do enjoy myself i feel like alone couldn_t_carry i finish line i want like game i think initial review i leave be because i be upset fact after try hard i didn_t i ll it shot one day see what everyone be see it all kind leave i feel let down end it all']"
7,7251,7_playtime_hour_200_hour_300_hour,"['playtime', 'hour', '200_hour', '300_hour', '600_hour', '400_hour', '1k_hour', 'play', '1000_hour', '500_hour']","['buy game have 9 5 hour it its great game i ve spend 7 5 hour sit que only two hour game play i want do my part', 'would love play game it work 6 hour play which be 1 hour 5 hour wait', 'i play game 4 3 hour']"
8,7212,8_pokemon_nintendo_zelda_gun,"['pokemon', 'nintendo', 'zelda', 'gun', 'gamefreak', 'minecraft', 'game', 'pocketpair', 'want', 'ark_survival_evolve']","['not pokemon all do not expect pokemon they will not be', 'be great game 157 hour not max_level like 4 level off people say it be ripoff pokemon be not most game ripoff other you consider rip_off be every battle_royal rip_off fortnite no they add uniqueness genre pokemon do not own concept befriending animal they own pokemon themselves like pikachu charizard mind game be well than pokemon pokemon be kid teenager want play teenage game pocketpair something similar pokemon improve it distinguishable way be mature game be target towards pokemon audience want more violent pokemon game say it be pokemon gun be not wrong not entirely true it have pokemon pal gun it be mature pokemon game be not all it be it be like ark mix pokemon i love it i want game i can play it more than 30 hour game have deliver it be not do yet 9 5 10 would recommend', 'it be like pokemon gun']"
