Topic,Count,Name,Representation,Representative_Docs
-1,307188,-1_recommend_ea_issue_server,"['recommend', 'ea', 'issue', 'server', 'cheat', 'much', 'its', 'it', 'fix', 'fun']","['hello you be look buy don t unless you want you go mad time friend get you cheat because your never around all you wanna do be kirk cobain yourself yeah go ahead buy it your try have fun do not go cod csgo match making be poor such oh your bronze three look like your pretty good now your go go emerald lobby guy can flick one tap any day week be horrible why i keep it i don t know its most expensive i have ever be why 4 keybored two controller one monitor later total around 700 dollar yeah don t buy have it be year four be good yeah man buy it it be actully good now be different story i hope help thank you', 'i m surprised such overwhelmingly positive have be out long it have be have many bug it sell it show i different item sometimes different amount gold i could possibly receive it not talk what i will get number item description iv have issue cut scene it would bit go back 10 30 second portion again continue go back 10 30 second again continue it be weird my main issue it be how clunky it be record i controller i do have some issue accidentally trigger l3 button which can be annoying i ll write off user error not my controller i have be tactician difficulty i fully understand it s mean hard challenge it doesn t sit right all your opponent move first wipe out half party before you get turn your same level now i m one level high it s suddenly all gum drop ice cream my only other issue be like you can chose option what s happen i m like why would i choose any option me', 'besides constant crashing bug my end supposedly because i have amd i be not all enjoyable fun little bit not enough i spend time money combat be okay i wish friendly fire be optional my understanding it be not i see why its turn option would be nice personally not fan massive multiplayer progress typically need constant player base new player later down line depend they join will be limit certain planet sector until galactic war reset i m not sure certain sector be hard than other suck new player who join late war regard choice anti cheat nprotect i honestly do not know much it i do little bit research i guess its have some privacy issue past along some pretty glaring issue regard other s big no no i i can avoid it i will now its not part why i it negative review i simply feel i should mention it like i say its simply not my kind decent friend point its not s enjoyable its company your friend reason i do not recommend be simply because current state regard crash bug obviously not everyone will experience bug crash you do not experience bug good you i m not you cookie do not bother comment i do not get bug']"
0,118054,0_nerf_tank_nerfe_buff,"['nerf', 'tank', 'nerfe', 'buff', 'dps', 'patch', 'support', 'overwatch', 'change', 'balance']","['hi i appreciate all work be who genuinely think 5v5 be good idea amount i get tank be one trick they get counter win t switch be insane tank have become such counter heavy role because s only one tank not two s not much you can do sometimes back your tank up your tank be get hard counter unless they be switch which often they win t 5v5 general feel tenuous because one person have bad day person be new player not switch counter can mean difference between win lose wasn t much issue 6v6 because one person wasn t do well other 5 would sometimes often compensate s not case anymore which more difficult newcomer well especially people try learn tank i m not sure why 6v6 isn t mode yet consider it s overwatch classic other have implement such mode rocket league fortnite apex legend how come we can t have 6v6 be not say i want 5v5 go i m sure be plenty who like it plenty who don t be pro 5v5 overall i think 6v6 be well experience average player i d like hear rest you', 'become well again after numerous good bad patch mainly because bug they introduce every time they add balance something i didn t encouter many frustrating bug crash lastly i can enjoy now thrilled see what they break again major update next week edit be more than one year ago i d recommend i switch red thumb because arrowhead be utterly incompetent doesn t learn its previous mistake all bit after my review above get major update lot broken mess along after numerous patch hotfix team say okay it s mess please let we 60 day fix everything rebalance everything they manage improve significantly thesis 60 day weapon be overall good enough you could bring any loadout you want high difficulty mission bug be far less numerous warbond be okay life be great during summer holiday it feel like xbox port major update cave be handle intern junior devs no supervision all follow release performance go south cause freeze during load screen numerous random crash blatant bug cause crash unfair unavoidable enemy attack pattern cause team wipe more crash more bug hotfixe more hotfixe more crash team say okay our hotfixe didn t work we re remove new enemy variant will reintroduce they 5 week announcement feel like team didn t test what they release send it live be be great team behind it look amateurish well no sign improvement bad it be after all why should they care polish their content it s hard not recommend helldiver 2 friend you can have much fun it work it work like 180 day year new edit 150 gb size be because player hdd instead ssd you need last gen gpu cpu hope not run any issue be you fun player', 'annoying be it could be amazing first it kind be you look all be unlock all way you can build your loadout it look like wonderland delight await you much it be realistic much it be awe inspire first time you do it somewhere along way you become aware you unlock you never whatever it be it s less viable than you unlock level 5 whatever you buy premium currency you become aware 90 it be powered compare you get free whatever good idea you have improve they don t get implement rare case they do they be balance point be disappointing be it worth money probably will it leave you satisfied probably not unless you be part gitgood crowd look community discussion any day any patch any update majority post will be people point out have huge glaring issue weren t present until patch patch significantly bad be like fast food it appeal primarily certain type person who like pre package generic limited option little chance significant improvement it could be great it will never ever you can quote i never be great because devs aren t interested it be great they want sell copy not fun their priority be get you pay after you your attention be no long their priority because they already have your money']"
1,77964,1_playstation_sony_psn_account,"['playstation', 'sony', 'psn', 'account', 'steam', 'pc', 'ubisoft', 'arrowhead', 'update', 'buy']","['i m not psn account steam sony', 'i love everything arrowhead be do it i can t support have psn account work fine i have one moment why be it now require i sign up third party account they lock i out all sudden feel force sony no i don t care it s free i don t want psn account i don t need psn account it be sad see be cause great go positive mixed negative review edit it be amazing watch community come together force sony reverse horrible psn idea s hop they don t try anything like it again helldiver 2 edit 2 sony be it people country psn can not buy point you all can keep permanent negative review', 'edit promise i be change my review positive sony have decide not go through their decision force psn account player good job everyone i own ps4 original helldiver console it first release pc gamer now i more less exclusively steam i have no issue link my psn account i intend do i will not boycott because i love it i respect developer arrowhead their team i do not respect sony i can not good faith recommend other because their decision impose all steam player have psn link account after knowingly sell country psn isn t available fact their own tos be only recently change it sing psn sony pc be optional now say its requirement business practice sony be anti consumer anti gamer have be fine several month sony need retract requirement allow steam player continue need psn link account they do i promise change review negative positive credit credit be due']"
2,49729,2_server_crash_connection_pc,"['server', 'crash', 'connection', 'pc', 'connect', 'unplayable', 'fps', 'ping', 'issue', 'steam']","['i have be able 1 hour since buy be fun it let i i can t recommend anyone spend money its current state will update server update get fix before i up move would have request refund i didn t spend too much time wait connect', 'great after few day total 8 hour i have issue run like get 120 fps now it will not hold 60 stutter bad its unplayable none my setting change only fix i find be completely reset my pc which bring my fps back soon i close restart it i be back have same issue', 'it be now it be unplayable require you connect their server which be always full be no queue you try log all you get be timer retry every 60 second top be no afk timeout who be already basicly be no new space opening up server you be require join because people aren t close once they get i leave run all day try log i get home work it be server be capacity screen my 17 hour only 4 hour be spend rest be spend try log server']"
3,33420,3_matchmaking_csgo_rank_dota,"['matchmaking', 'csgo', 'rank', 'dota', 'cs2', 'cs', 'match', 'valve', 'competitive', 'queue']","['do i start i ve since season xbox i have it diamond master multiple time have progressively get bad usual ea do not care community money their wallet have major issue cheater do not get resolve they do not fix bug issue unless it be completely breaking i would get kick out would crash all season 13 no reason get ban rank because i leave early they would rather cosmetic have you spend 120 it than well it celebrity go their hq get they new mode they ever consumer i may again it be look grim publisher could have be good br all time they have no intention it they want your money i will not apex one more penny my money i highly recommend you boycott ea hurt they they only way we can', 'tbh some aren t terrible idea i don t specifically rank rank up mainly have fun i find it hard have fun i never win i m new i m pretty bad i find wether not i win my be almost completely irrelevant how good i do s be i bad win one i well lose anyway it almost seem like order rank up win you d have be able 1v5 which mean least gold skill level go bronze silver which doesn t seem much sense since rank reset i ve have people my bronze be gold well last act today week after reset smurfing situation be bad iron it be almost every other oppose team have smurf smurfing do seem happen alot less bronze whole comms be definitely true because be way more fun way easy win team have comms doesn t it insult bottom frag some reason it seem like you only every few day be way easy you 2 more day row few match each day it become impossible win wether be because afks diamond player oppose team i wait day 2 i have fun can win day i find be how i have rank which be annoying because it s fun team comms i stand small chance against opponent it s shame only be able have fun only once every 2 3 day be something i be unaware easy you haven t day 2 hard because i have many match last day all 3 match be loss 10 round gap i m bronze 1 rn be pretty new be around 6 month', 'my old account have around hour csgo cs2 i be seasoned player i exclusively premier matchmaking my friend around 16 rating i be not prepared what be wait i switch my new account 3 death match unlock competitive no biggie 30 minute i realise i need rank 10 premier matchmaking 60 hour later it s do it have be bad experience my entire time csgo cs2 ever around 40 people go afk leave first round trolling be more useless than easy csgo bot kill team mate no reason mind you i win most my since i be fact against retard no matter i lose win it be never fun it s chore have be do be able against real player my friend you re change account like i sure it can be do don t expect much relax few bottle wine each session movie background otherwise it would simply not be tolerable you be new player i seriously urge you consider what you have do real cs2 cs2 be free you need pay premier match 13 seem cheap i would rather drag my through glass eat shard than do again why not improve anti cheat instead premier behind such wall we will never know']"
4,15903,4_rpg_gameplay_fallout_dialogue,"['rpg', 'gameplay', 'fallout', 'dialogue', 'character', 'quest', 'level', 'explore', 'much', 'be']","['be kind slow not intuitive feel kind like you have do their way not lot choice be my first run through second run it will be well i finish i have say it could be much more fun be few more choice like three broomstick you could order butterbeer anytime you go you could interact more your fellow student say meet i three broomstick something anything you never get sit great hall have meal your friend once you finish questline like friendship poppy hatty sebastian ominus you never get talk they again fig die you don t get address it any way you finish ancient magic line map chamber be empty no one talk except they can be their picture be they you need let people interact more it be ok you finish move we aren t any more effort many little could have be do well you want people have good time you don t want do something like sebastian line be no choice no matter what you say outcome be same it be all railroad you have no choice it be all their way don t once you click go great hall exam it be all video you aren t it until end they say oh you get few point all you do your house win cup people yell yay be no do you pass your o w l s not no say good bye friend it s you can t talk anyone lazy programming no thought player only get money harry potter', 'not far i m almost do act 1 3 i think keep mind you might be ask why be i review i m not far because be incredible it have some good character i have ever see rpg some good world building much more few other have i be shock how many option exist approach small don t seem like choice end up be character creation be deep every level big difference term how you character especially blow i away they be all well write develop your interaction they matter quite bit i remember nearly everyone i have conversation compare skyrim another fantasy rpg i genuinely can hardly remember one person because they be all similar it isn t flaw combat particularly be unforgiving you aren t fully aware how dnd combat work it can seem unfair time level 5 fighter get upwards 4 attack turn especially suck sometimes end up combat more interesting you be softly encourage find less conventional mean success instance blow up bridge particularly strong enemy be they be it before engage combat may help you more than charge surround yourself pool grease you can quickly light fire enemy get too close it be hard seem be some bug i encounter allow i do out order like i might have dialogue option regard secret one my follower have secret be reveal i can say same option i don t know it can be jarring i m not sure why i can do overall it be fantastic you like rpgs all you ll love', 'i do same back april ps5 i didn t like now i sometimes force myself it hop it get well i ve always sandbox i m not new kind i procedural world generation be both good bad planet look different after you start notice same pattern happen too soon especially you stop do quest explore explore doesn t feel like explore since scan show you everything you re not discover anything move point point end you mostly switch planet get resource build base honestly two three system be more than enough some mechanic feel complicated hud be bad i think most people would agree quest be simple feel more like something extra than part main top graphic ps5 aren t great which i didn t expect it s especially noticeable grass since it stop render pretty close you it s hard not ignore it what i see reddit be lot people who enjoy it i feel like i m minority it s because i ve many i ve become more demanding sandbox like minecraft keep i hook way more hour i only it few time year course be my personal opinion']"
5,14187,5_cheater_cheat_cheating_fix,"['cheater', 'cheat', 'cheating', 'fix', 'hack', 'hacker', 'unplayable', 'ban', 'problem', 'aimbot']","['hacker exploit s anti cheat now it be full cheater 6 10 rank match be cheater', 'fix anti cheat many cheater', 'too many cheater 3 out 3 cheater']"
6,9408,6_pokemon_nintendo_ark_palworld,"['pokemon', 'nintendo', 'ark', 'palworld', 'pocketpair', 'creature', 'catch', 'monster', 'level', 'be']","['pokemon gun what s not like', 'ark pokemon pal i mean pal', 'it be what pokemon should have be']"
7,7233,7_addiction_addict_addicted_addicting,"['addiction', 'addict', 'addicted', 'addicting', 'addictive', 'drug', 'heroin', 'cocaine', 'crack', 'meth']","['be addict i be addicted', 'might ruin your mental health addict', 'have drain my mental health 10 do not get addicted']"
8,6047,8_free_buy_purchase_sale,"['free', 'buy', 'purchase', 'sale', 'spend', 'pay', 'sell', 'discount', 'price', 'cost']","['do not buy not worth it', 'i buy it go free', 'be do not buy it']"
