Topic,Count,Name,Representation,Representative_Docs
-1,322654,-1_server_issue_fix_bug,"['server', 'issue', 'fix', 'bug', 'crash', 'cheat', 'update', 'mode', 'team', 'ban']","['imagine you re control you get team fight ot point your team manage kill 2 they get team kill you survive you have 3 enemy be aware your existence you evade they now you re walk back you have pick direction go because your team hasn t spawn yet you start walk towards one side map point flip whole map be mirror you don t know which side be yours time your team spawn you realize you re go wrong way other team be behind you front you you get skewer have happen i more once i m bad direction it would be nice know my team be go be all i want be indicator map show my base be i know which way go help after team fight be lose point be lose marker map be i alone have you guy randomly wander enemy territory because you get lose massive map well side note have such terrible mode fact we can t 2cp quickplay be ridiculous justice hanamura', 'it can be great time don t get i wrong between actual break bug seem occur pretty often connection matchmaking issue time i can not recommend buy it you can lose much progress get drop mission connection problem you complete mission can get no reward sometimes what s ever mean you could have spend hour nothing hopefully devs figure out issue we can all enjoy 17 feb quick update now seem like you can t half time due server be capacity ask you try again later many player not able get all after retry multiple time they release broken don t waste time money product right now', 'i have lot problem currently mainly performance optimization have be bad its ever be be update couple month ago they sacrifice performance well enemy ai i think s what lead be pretty much unplayable i haven t notice enemy have well ai they act pretty much how they ve always act its time out we can go back be function loading mission drop 5 10 fps mission don t go above 40 fps anymore will now regularly freeze good 3 5 sec recently it now freeze your whole pc min you either get hope it fix its self hold power button shut everything off try again i never think i would be uninstalle i can t it what s point not until we get optimization performance patch what i ve hear devs have say they don t want dedicated patch kind rather focus new content we don t get patch fix i guess i win t be come back such shame fun friend it have many issue it hurt see like i say s ton more issue i have one be far my 1 problem fix performance fix some bug fix your optimization 150 gb be insane why be many big duplicate file do nothing i ll gladly come back']"
0,88925,0_playstation_sony_ea_account,"['playstation', 'sony', 'ea', 'account', 'pc', 'steam', 'review', 'psn', 'devs', 'update']","['sony kill it require you link psn account', 'be good fun i ll leave bad review until sony stop pull stunt launch psn account be optional pc player sony want psn account link mandatory three month after launch why they want psn account link mandatory well ban player absolutely lie psn account doesn t provide anything detect hacker cheater bad people well security another lie sony be hack s data leak almost every year i feel lot safe i don t sony my information after people complain sony withdraw their decision psn account they have restrict access only country have psn', 'be incredibly fun it magazine base ammo system which be practically unheard shooter plus comraderie community be pleasant experience many weapon have valid playstyle developer be try their good balance it reason my negative review be because sony be enforce psn edit you crazy son we manage get sony back up all go well psn link will stay optional we ll get snazzy new cape s base negative review chart rest review will be keep posterity reason why forced psn be despise be because be sell worldwide several month require psn account certain country do not support psn you attempt fake your account location vpn you may get ban sony another issue be sony be notorious have countless data leak which be only exacerbate fact face i d be require uk ireland only reason sony s force psn be likely it their shareholder see they re do well they get sell your information accord arrowhead they be upset change be apparently argue sony find alternative people whose country do not support psn account leave negative review refund will they more proof sony their psn requirement be stupid kill unprecendented pace i personally will not refund because i believe bounce back besides i probably wouldn t get refund anyways']"
1,36570,1_matchmaking_dota_csgo_overwatch,"['matchmaking', 'dota', 'csgo', 'overwatch', 'blizzard', 'match', 'valve', 'toxic', 'competitive', 'rank']","['i like up until season 4 release almost every single i m talk 95 i be complete shut out one way another one team dominate other entirely sometimes i m team i be not do particularly well i m double point second place person my team we re win side whereas sometimes i i be try hard i possibly can i be 20th my team lose side i m general rank sometimes it feel like i m bot other time player be fast flick shooting it feel like they re cheat i don t think s always necessarily case what i be talk match weren t lopside every i wouldn t care much only small handful have be fun close match it feel balanced since season 4 start one i notice definitely have effect be they add vehicle certain part match which part ridiculously oppose side you have 2 good pilot tank seriously it seem like whoever be choice balance do not have proper metric be decision because they obviously do not they be change like bad part be it s be long time since season 4 release all same problem be bad they be new season come out i be extremely enthusiastic until weird heavy handed change stick around afterwards it s unfun now s no reason it all', 'be problem doesn t have solution i have 3 nation tech tree fully complete 1 fully complete tank i want grind something else i ll need start bottom obviously i m go do well than new player do mean i shouldn t be able it no would introduce sbmm fix issue yes no yes it would fix fact i d be against new player it would increase queue time considerably nobody want wait 45 min match you 30 other player same level you happen be 3 br match last 10 min you can t fix one side other one miserable honestly i think it s well have new people die quickly hop another than ruin veteran player new player up because it it s well lose new player who may may not like after level 10 than lose player who have already prove like enough stick around long have likely money company be player they want keep around not little guy who instal after see ad after 15 match decide they don t like you d be lose new guy veteran gaijin have decide which side player base they want preserve most can t everyone happy we ve all be you be currently who like it through become one you re complain suck it be what it be you will always run player who be lot well than you regardless br you re s consequence online you can t fix it way be good everyone', 'be fun it will not allow you any hero you want anymore it be impossible new player get good it you will have fun new player mode you can only select small pool hero until you learn your ability buy item store than you will soon get bored against player who do not know how do than you will want hero you know against more advanced player you will find 3rd hero be ban hero be ban be allway different you hardly ever get practice hero you want practice you will be stick some hero you don t know you will get kill whole people who learn all hero back time you could any hero you want than you leave twice you can no long any you be stick hero you don t know it be tie up your computer 45 min it be fun everyone who allready know how it be not it be you be start out you will find it be waste time no other hold you back learn like dota 2 it seem like its get way more option than any other you realy don t have any they have fun something else find all be true']"
2,35662,2_nerf_battlefield_siege_nerfe,"['nerf', 'battlefield', 'siege', 'nerfe', 'change', 'patch', 'fallout', 'cod', 'devs', 'tank']","['i buy november start it december now sale first it feel like fallout garry s mod it s way well than have more than enough content satisfy no need micro transaction i don t know what micro transaction be all my attention have be what be be plenty go keep you busy i haven t finish all main quest yet all side quest i ve only finish tax evasion quest daily op you like fallout you will enjoy probably more than other too it s not quite same what you would expect you long enough you will understand why it s design like be experimental fallout leveling system be mostly improvment past like fallout 4 be improvement enemy can scale you above your level you don t end up fight bore low level enemy least your not low level people low level event only multiplayer i have spend my time far be event you have choice they challenging camp loot they be definitely challenge alone way more challenging than any bethesda far i wish they have nuclear winter mode something similar multiplayer mode not necessarily battle royal bethesda can definitely improve multiplayer they should have lot potential right now it can t simply be abandon i haven t starfeild i m already more curious what they plan do future they mod support like they say they would would be great many door would open it may be difficult implement i haven t any extra purchase no micro transaction i have only encounter 1 quest bug which i will probably have ask support help other than be more than enough satisfy i can see how they could way more fun introduce new mode like nuclear winter which be can they should bring back something like', 'be amazing entertaining it do become repetitive be nothing else do except start new mission launch down planet be no hub area all player can interact any mission more than 3 other people need more be no loot except sample currency you might find mission be weapon be find randomly during mission you lose they mission be some reason developer seem be constant nerfe cycle recently solo mission more difficult they try pass it off fix error be they easy release constantly nerfe weapon people find effective meanwhile nothing steam page have change 3rd party eula be mention be requirement psn account f ck sony 08 19 ah do someone do not work your company pitch idea helldiver you would explain how you could appear not know how manage your because you create it it s shocking watch you continue run it ground needless nerfs weapon people favor be such stupid effing move you can not seem stop do it its king pve 09 25 they ve un nerfe lot weapon have more enjoyable again whoever idea it be nerf weapon base player should be fire don t repeat mistake be pretty limited content mission after mission no variation alternative it be again fun few friend i want see more will they time see what they come up', 'big potential lot overhype i will ignore issue server review be fair i have only random solo it s fun not long its incredible amount stupid player far 4 player coop it s not feel great be little mechanic work well far teamwork except usual stick together aggro i flank armored back haven t see anyone teammate reload be no proper revive skill involve be little arrow sequence airdrop pod run back your body everytime you die get your more run oh jump too they do look good bring right gear job do not worry it s pretty much always same cause be only couple weapon be efficient against heavy armor learn enemy weakspot be aware your teammate what they re do they don t kill you whole friendly fire feel i like desperate attempt appear more fun than it be i expect more action pack 4 player coop especially one gun be too many dead time you re run around map fact you drop support weapon be most annoying absolute bad it suck fun right out i hope they will do some big change it be now i regret buy it s not deep once you scratch surface all be leave be stupid grind unlock everything go through difficulty they spam number armored unit you i would have like it way more linear map like l4d lot more player big all out war objective']"
3,32575,3_nerf_buff_ult_rework,"['nerf', 'buff', 'ult', 'rework', 'ana', 'mercy', 'dps', 'damage', 'support', 'change']","['do you all think she be ever get one overall i be pretty meh she she grow i much character especially after watch her origin story video another video one devs share behind scene how she be concept finish hero it look like lot love passion go create she character illari i more interested peru it s history people i think her release be execute poorly sadly first all we have little her lore background they fail deliver it come her lore 2nd i don t like be how she feel insert much think her connection overwatch be non existent we don t know why be she what be her goal she doesn t feel like part overwatch 3rd be lack interaction she be probably one not quiet hero she barely have any interaction far i think i be only get two most time one genji she be hum another one she ask ana be good sniper i feel like her cinematic do well they have chance redeem hero up how neglect she be start it come her lore background character general i personally want find out more illari i have too many question she will they ever be answer', 'okay i m mad be no way they re mega buff suzu heal change they suzu heal more it cleanse it heal more than ana nade which be already top 3 ability be absolutely no way it have less cd than soldier heal its not good he could ve be nerfe 4 different way least do nothing soildier position meta kiriko other hand have most op escape option 6 sec cd far good ability i frame barely be nerfed should not exist non ult btw be less cd than every other save ability ability heal one tap anywhere her ult be most fair she s extremely sad she have 90 pick rate supp she get mega buff compensate nerf realistically its go heal much remove i frame rework whole ability cleanse heal be unbelievable she have poor win rate because every single have she one team loss no matter what great another loss kiriko she s bad say devs its crazy they do not nerf character any other way all mega buff everything be slightly bad she they need destroy her cd they she like like look ana she be 100 solid despite be strong because many you have do smart now look kiriko i do not need say any more honestly except be more unenjoyable every single player do not supp who would ve guess', 'imagine have good year treat it like trash year come out squeal be same same engine bad skin system than old 5v5 be bad format tank player imaginable i mean ow1 player tank be somewhat frustrating amount cc imagine go ow2 now you be only tank its like have massive fcking sign say hey shoot bc your only tank let not get it twist either i be currently master rank be gm last 2 season what do bliz do compensate 1 tank ah we know let he tanki effectively do less damage will be great effectively less damage bc healing ability be more oppressive everyone dps support have more hp now be zero satisfaction tank role solo q only time you get kill be you finish snipe kill dps healer you get miracle situation be you be 1v1e someone which never happen short your tank you be large hp pool character do less damage typically have less mobility now everyone shoot look perma you thank blizzard i do not know company be already horrible balance could possibly bad hey congrat you find way do it man nice let not forget side note tracer sojorn echo have be good dps since it launch every season far do not get nerfed they simply can not other dps well anycase again be we do recap ow1 ow2 we have tank role feel bad than before half dps cast can not be high elo least healing be strong role probably most hat addition immortality ability yeah you guess it they add second one fun right feel bad say i would rather league legend anything else 96 time oh wait wasn t suppose be epic re playable pve story mode do go']"
4,30612,4_robot_bot_bug_kill,"['robot', 'bot', 'bug', 'kill', 'enemy', 'nuke', 'spawn', 'bomb', 'die', 'love']","['we have good we be all kill bot bug now', 'spread liberty shoot bug robot what s not like', 'my friend kill i more than bug 10 10']"
5,29746,5_lag_crash_pc_issue,"['lag', 'crash', 'pc', 'issue', 'unplayable', 'cpu', 'computer', 'bug', 'fps', 'ram']","['1 constantly crash it be only i own crash like i be only one my friend experience constant crash follow all troubleshooting step reinstall work no fix crash 2 devs now require link third party account month after release lock you out you can t don t want whatever reason be scummy nth degree refund request above issue ever get fix i will re buy it s fun it work let you until i can not recommend', 'would not recommend pc it crash pc load up 80 time i have read watch fix online forum video they don t work well i get no feed back no help hello bad customer support it self can be fun survival it work well not worth invest 5 30 min every load possibility it may keep crash be not new community i can find many discussion issue yet all new content they work hello have be ongoing problem more year have never be address again be fun its not playable function properly how it should it it undesirable i run many other top end my pc little no issue my hardware be up task', 'great it crash alot i reckon 70 time will be crash usually mean have restart your pc it will crash join group someone leave group it crash during load screen mission debrief screen it crash choose crossplay it will definitely crash exit s like 95 guarantee rate one it will crash certain weapon it will crash try run turn shoot strategem which be btw it will crash be too many explosion screen it crash more automaton area will crash be alot big bug around it will crash try reach ship alot sample guarantee be alot fun it have way too many crash none seem have be fix its same now it be week one']"
6,22455,6_rpg_palworld_gameplay_design,"['rpg', 'palworld', 'gameplay', 'design', 'pokemon', 'quest', 'level', 'character', 'experience', 'will']","['palworld show gamer have want long time i do not think palworld be it i have pokemon my entire life survival craft be among my favorite type rust ark vallheim conan exile palworld try marry type together i think once novelty wear off it do both bad than what come before it i be gift friend who think i would like it i guess i do not buy it myself because i know i would not i have try their last craftopia be bit mess same concept mash together move next i imagine success palworld they will more love care it they could new one throw some other mechanic more money hopefully they improve like it palworld feel like run treadmill get long long you never go anywhere all number get big you never do anything different combat be shallow base building be possibly bad any survival i ve world feel empty lifeless i feel like i be waste time i which most don t i aware palworld you endless busy work like lot survival it feel like work palworld listen my friend discord it sound like work too i m not convince people be experience fun its i i don t think palworld will have any staying power mind heart gamer once come out scratch similar itch be good design art i think everyone will forget palworld i view art you every idea somewhere else down creature design your creature collection its go feel soulless i it s pretty good imitation s what it be imitation i wouldn t recommend palworld i seem be minority only time will tell', 'i don t think i can recommend unless it be either free heavily discount i find world be repetitive not fill anything side quest be all same puzzle school feel more like chore than anything i have major technological difficulty get work it aa total seven hour trouble shoot i be bad point stand i have delete multiple file compile my shader every time i want accord fix i find my issue it be spark big update devs never get around fix it be not acceptable size how little be it almost feel like scam school aspect be more like grind few side quest location you can buy some potion ingredient once never it again i feel companion be dull have nothing say obvious world feel same every corner map exploration feel tedious rather than exciting puzzle be same often i least be glitche i never know i be too dumb puzzle i have restart usually former not rarely ladder reward puzzle be nothing good except more gear space which be only good because you be always out gear space it feel like gear you do get you negate next 10 minute because you find something well you can upgrade it it get increasingly more expensive not worth it doesn t mention how be 4 whole enemy type entire how they have exact same move you fight one spider once you ve learn how beat 90 spider same go goblin poacher living suit armor i have little say justify buy you re die hard harry potter fan its worth it i feel it be stale void any life main i like be move castle past be not much i highly suggest against buy', 'be my first open world survival type i have ever honestly i m mixed my feeling it first off let start good pal themselves be cute fun collect i thoroughly enjoy wander around catch new pal yes i do know they be ai art create look similar pokemon don t care its entertaining catch they battle they level they up graphic be beautiful well music be good i can wander around island its nice see scenery explore world con i have learn i despise open world craft system be little enjoyment build base all along it i guess it could be fun some people it most definitely do not click i i think well tutorial what all item do how important each one be craft first it might it lot well perhaps simple few recommendation look object i love soul type enjoy they no end more like pokemon legend arceus dark soul breath wild perhaps have you retrieve your corpse get all your back be not right choice multiplayer seem fun first not be able keep anything your own world it huge letdown you didn t get keep your pal gear let we keep our personal level our character least i d be okay be scale down host level be necessary let we keep something i have several friend who be enjoy i will try it another go i think i ll be look mod something remove importance survival craft aspect before i will enjoy it overall be probably amazing who love open world survival craft be not i 4 10 would be 2 10 catch collecting pal']"
7,13968,7_server_issue_reconnect_problem,"['server', 'issue', 'reconnect', 'problem', 'fix', 'bug', 'unplayable', 'error', 'ping', 'connection']","['server issue have be fix', 'get your server fix i can not', 'fix your server i can not it']"
8,12429,8_cheater_cheat_cheating_hack,"['cheater', 'cheat', 'cheating', 'hack', 'hacker', 'ban', 'valve', 'fix', 'unplayable', 'player']","['good too many cheater fix anti cheat', 'many cheater valve anti cheat be bad', 'cheater cheater cheater wait s more cheater you don t want cheat don t buy all cheater they do absolutely nothing it']"
