k14_etaNone_drop0_uni_original_top5_games_per_topic
game_name,topic,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
DOTA 2,topic_0,0.4626178820303360,,,,,,,,,,,,,
Rainbow 6: Siege,topic_0,0.23321395077781900,,,,,,,,,,,,,
Counter_Strike 2,topic_0,0.22623727353800900,,,,,,,,,,,,,
Getting Over It with Bennett Foddy,topic_0,0.1902870944562610,,,,,,,,,,,,,
The Binding of Isaac: Repentance,topic_0,0.18628581099828000,,,,,,,,,,,,,
Cuphead,topic_1,,0.2614611109505730,,,,,,,,,,,,
Delta Force (2024),topic_1,,0.2175774982314030,,,,,,,,,,,,
Super Meat Boy,topic_1,,0.21723382434703000,,,,,,,,,,,,
PUBG: Battlegrounds,topic_1,,0.19260841135295700,,,,,,,,,,,,
Star Wars Battlefront II,topic_1,,0.18968853375839400,,,,,,,,,,,,
Helldivers 2,topic_2,,,0.16893642656861500,,,,,,,,,,,
Dark Souls (Remastered),topic_2,,,0.05528070525148390,,,,,,,,,,,
No Man's Sky,topic_2,,,0.05493438618299680,,,,,,,,,,,
Anthem,topic_2,,,0.05230221771732120,,,,,,,,,,,
DOTA 2,topic_2,,,0.04937798492851750,,,,,,,,,,,
Halo: The Master Chief Collection,topic_3,,,,0.28903732877733800,,,,,,,,,,
Devil May Cry 5,topic_3,,,,0.2301517239135450,,,,,,,,,,
Getting Over It with Bennett Foddy,topic_3,,,,0.19586342200129600,,,,,,,,,,
Jump King,topic_3,,,,0.18896336506860000,,,,,,,,,,
Dark Souls (Remastered),topic_3,,,,0.16128831295026500,,,,,,,,,,
PalWorld,topic_4,,,,,0.2880999779078090,,,,,,,,,
No Man's Sky,topic_4,,,,,0.20305241429416000,,,,,,,,,
SimCity (2013),topic_4,,,,,0.07808979229665100,,,,,,,,,
Hogwarts Legacy,topic_4,,,,,0.0767391133196805,,,,,,,,,
Mighty No. 9,topic_4,,,,,0.07222235692244250,,,,,,,,,
Escape From Tarkov,topic_5,,,,,,0.16079455014400100,,,,,,,,
Delta Force (2024),topic_5,,,,,,0.13456154939395000,,,,,,,,
Super Meat Boy,topic_5,,,,,,0.13265423519993700,,,,,,,,
Jump King,topic_5,,,,,,0.1280096660865060,,,,,,,,
War Thunder,topic_5,,,,,,0.10891984780938300,,,,,,,,
Warcraft III: Reforged,topic_6,,,,,,,0.16036993836369700,,,,,,,
Fortnite,topic_6,,,,,,,0.14698037099412300,,,,,,,
SimCity (2013),topic_6,,,,,,,0.1406982964729580,,,,,,,
Genshin Impact,topic_6,,,,,,,0.13071641305508700,,,,,,,
The Lord of the Rings: Gollum,topic_6,,,,,,,0.12496374410021900,,,,,,,
Call of Duty: Modern Warfare III,topic_7,,,,,,,,0.1722355019643940,,,,,,
War Thunder,topic_7,,,,,,,,0.12569546470249200,,,,,,
APEX Legends,topic_7,,,,,,,,0.1176359205090850,,,,,,
Call of Duty: Warzone,topic_7,,,,,,,,0.11748816099863600,,,,,,
Fortnite,topic_7,,,,,,,,0.09988130270268080,,,,,,
SimCity (2013),topic_8,,,,,,,,,0.3687719270095750,,,,,
Genshin Impact,topic_8,,,,,,,,,0.3512580662328320,,,,,
Warcraft III: Reforged,topic_8,,,,,,,,,0.28612756664168200,,,,,
Escape From Tarkov,topic_8,,,,,,,,,0.24761776331358300,,,,,
Valorant,topic_8,,,,,,,,,0.22316534153822000,,,,,
Call of Duty: Warzone,topic_9,,,,,,,,,,0.19302278762992400,,,,
EA SPORTS FC™ 25,topic_9,,,,,,,,,,0.16363070878365800,,,,
Counter_Strike 2,topic_9,,,,,,,,,,0.16282783551420100,,,,
Battlefield 4,topic_9,,,,,,,,,,0.15750633121116700,,,,
Escape From Tarkov,topic_9,,,,,,,,,,0.1475044931282960,,,,
Helldivers 2,topic_10,,,,,,,,,,,0.13462408033193700,,,
Star Wars Battlefront II,topic_10,,,,,,,,,,,0.05885056126562000,,,
Super Meat Boy,topic_10,,,,,,,,,,,0.02895333119575760,,,
Warcraft III: Reforged,topic_10,,,,,,,,,,,0.024065270123831100,,,
Street Fighter V,topic_10,,,,,,,,,,,0.022213916268997700,,,
Hogwarts Legacy,topic_11,,,,,,,,,,,,0.25192004404978100,,
Mass Effect: Andromeda,topic_11,,,,,,,,,,,,0.21467894114834300,,
Batman: Arkham Knight,topic_11,,,,,,,,,,,,0.20525014967690000,,
Furi,topic_11,,,,,,,,,,,,0.1900614961514940,,
Cyberpunk 2077,topic_11,,,,,,,,,,,,0.1891637934893690,,
Helldivers 2,topic_12,,,,,,,,,,,,,0.08646912411082930,
War Thunder,topic_12,,,,,,,,,,,,,0.044295135550707500,
Battlefield 2042,topic_12,,,,,,,,,,,,,0.04315516740899590,
Halo: The Master Chief Collection,topic_12,,,,,,,,,,,,,0.035500975217251100,
APEX Legends,topic_12,,,,,,,,,,,,,0.03531665623691350,
League of Legends,topic_13,,,,,,,,,,,,,,0.3189025839718840
Overwatch 2,topic_13,,,,,,,,,,,,,,0.271454815732195
Valorant,topic_13,,,,,,,,,,,,,,0.20395951221850800
Fortnite,topic_13,,,,,,,,,,,,,,0.08183242410850500
APEX Legends,topic_13,,,,,,,,,,,,,,0.0609345360453942
