game_name,top_topics
APEX Legends,"topic_0:0.151, topic_1:0.120, topic_9:0.120, topic_7:0.118, topic_3:0.086"
Anthem,"topic_1:0.186, topic_8:0.171, topic_3:0.112, topic_6:0.109, topic_11:0.099"
Assasin's Creed Unity,"topic_11:0.189, topic_1:0.140, topic_0:0.140, topic_3:0.088, topic_9:0.087"
Baldur's Gate 3,"topic_11:0.169, topic_0:0.169, topic_3:0.147, topic_1:0.126, topic_8:0.113"
Batman: Arkham Knight,"topic_11:0.205, topic_0:0.178, topic_1:0.160, topic_3:0.118, topic_8:0.061"
Battlefield 2042,"topic_1:0.159, topic_0:0.116, topic_9:0.112, topic_6:0.101, topic_3:0.096"
Battlefield 4,"topic_1:0.170, topic_9:0.158, topic_0:0.145, topic_3:0.123, topic_5:0.094"
Call of Duty: Modern Warfare III,"topic_7:0.172, topic_0:0.129, topic_1:0.123, topic_9:0.109, topic_5:0.093"
Call of Duty: Warzone,"topic_9:0.193, topic_0:0.171, topic_7:0.117, topic_5:0.088, topic_3:0.083"
Counter_Strike 2,"topic_0:0.226, topic_9:0.163, topic_1:0.139, topic_5:0.077, topic_3:0.077"
Crash Bandicoot 4: It’s About Time,"topic_1:0.184, topic_3:0.143, topic_11:0.136, topic_8:0.106, topic_6:0.103"
Cuphead,"topic_1:0.261, topic_0:0.147, topic_3:0.118, topic_11:0.107, topic_5:0.073"
Cyberpunk 2077,"topic_11:0.189, topic_0:0.139, topic_3:0.139, topic_1:0.132, topic_8:0.077"
DOTA 2,"topic_0:0.463, topic_1:0.093, topic_3:0.068, topic_2:0.049, topic_9:0.042"
Dark Souls (Remastered),"topic_11:0.165, topic_3:0.161, topic_0:0.152, topic_1:0.124, topic_5:0.086"
Delta Force (2024),"topic_1:0.218, topic_5:0.135, topic_9:0.132, topic_6:0.096, topic_0:0.086"
Devil May Cry 5,"topic_3:0.230, topic_0:0.150, topic_1:0.141, topic_11:0.106, topic_5:0.073"
EA SPORTS FC™ 25,"topic_9:0.164, topic_0:0.145, topic_6:0.093, topic_5:0.093, topic_7:0.091"
Escape From Tarkov,"topic_8:0.248, topic_5:0.161, topic_9:0.148, topic_3:0.112, topic_6:0.091"
Fallout 76,"topic_8:0.174, topic_1:0.166, topic_3:0.115, topic_6:0.097, topic_0:0.093"
Fortnite,"topic_8:0.212, topic_6:0.147, topic_1:0.111, topic_7:0.100, topic_3:0.100"
Furi,"topic_11:0.190, topic_1:0.179, topic_3:0.116, topic_8:0.106, topic_5:0.100"
Genshin Impact,"topic_8:0.351, topic_6:0.131, topic_11:0.106, topic_3:0.093, topic_7:0.059"
Getting Over It with Bennett Foddy,"topic_3:0.196, topic_0:0.190, topic_1:0.156, topic_5:0.100, topic_8:0.084"
Halo: The Master Chief Collection,"topic_3:0.289, topic_1:0.135, topic_0:0.128, topic_8:0.059, topic_9:0.055"
Helldivers 2,"topic_2:0.169, topic_1:0.143, topic_10:0.135, topic_12:0.086, topic_0:0.080"
Hogwarts Legacy,"topic_11:0.252, topic_1:0.180, topic_8:0.097, topic_3:0.088, topic_4:0.077"
Jump King,"topic_3:0.189, topic_0:0.169, topic_1:0.161, topic_5:0.128, topic_8:0.068"
League of Legends,"topic_13:0.319, topic_8:0.160, topic_6:0.105, topic_3:0.078, topic_0:0.063"
Mass Effect: Andromeda,"topic_11:0.215, topic_8:0.209, topic_1:0.113, topic_3:0.103, topic_6:0.098"
Mighty No. 9,"topic_1:0.143, topic_8:0.135, topic_0:0.126, topic_3:0.117, topic_6:0.113"
Mortal Shell,"topic_11:0.186, topic_1:0.152, topic_8:0.129, topic_6:0.112, topic_3:0.108"
No Man's Sky,"topic_4:0.203, topic_1:0.137, topic_3:0.137, topic_0:0.090, topic_6:0.083"
Overwatch 2,"topic_13:0.271, topic_0:0.112, topic_8:0.111, topic_3:0.088, topic_1:0.072"
PUBG: Battlegrounds,"topic_1:0.193, topic_0:0.154, topic_9:0.143, topic_5:0.089, topic_3:0.086"
PalWorld,"topic_4:0.288, topic_1:0.177, topic_0:0.095, topic_3:0.088, topic_8:0.073"
Rainbow 6: Siege,"topic_0:0.233, topic_1:0.168, topic_3:0.107, topic_5:0.105, topic_9:0.103"
Sekiro: Shadows Die Twice,"topic_11:0.187, topic_0:0.157, topic_1:0.139, topic_3:0.135, topic_5:0.088"
SimCity (2013),"topic_8:0.369, topic_6:0.141, topic_3:0.103, topic_4:0.078, topic_11:0.074"
Star Wars Battlefront II,"topic_1:0.190, topic_3:0.148, topic_0:0.124, topic_9:0.089, topic_10:0.059"
Street Fighter V,"topic_1:0.153, topic_0:0.124, topic_3:0.110, topic_8:0.101, topic_5:0.096"
Super Meat Boy,"topic_1:0.217, topic_0:0.140, topic_5:0.133, topic_3:0.115, topic_8:0.081"
The Binding of Isaac: Repentance,"topic_0:0.186, topic_1:0.162, topic_3:0.126, topic_7:0.090, topic_5:0.071"
The Lord of the Rings: Gollum,"topic_8:0.140, topic_11:0.127, topic_6:0.125, topic_3:0.121, topic_1:0.108"
Valorant,"topic_8:0.223, topic_13:0.204, topic_6:0.086, topic_5:0.084, topic_3:0.082"
War Thunder,"topic_1:0.164, topic_0:0.163, topic_7:0.126, topic_5:0.109, topic_3:0.095"
Warcraft III: Reforged,"topic_8:0.286, topic_6:0.160, topic_3:0.102, topic_9:0.058, topic_13:0.057"
