k4_etaNone_drop0_uni_original_top5_games_per_topic
game_name,topic,topic_0,topic_1,topic_2,topic_3
Call of Duty: Warzone,topic_0,0.6636133716972560,,,
DOTA 2,topic_0,0.6594044474940150,,,
Counter_Strike 2,topic_0,0.6350586780041450,,,
Battlefield 4,topic_0,0.6333065750731640,,,
Call of Duty: Modern Warfare III,topic_0,0.6329055473322810,,,
League of Legends,topic_1,,0.7243826727442840,,
Valorant,topic_1,,0.6061820579246460,,
Escape From Tarkov,topic_1,,0.5744540365997830,,
Overwatch 2,topic_1,,0.5590521969106290,,
Warcraft III: Reforged,topic_1,,0.4478124548962830,,
Helldivers 2,topic_2,,,0.3970412760884520,
Star Wars Battlefront II,topic_2,,,0.10023224199454800,
DOTA 2,topic_2,,,0.08696217552737160,
Street Fighter V,topic_2,,,0.07963737541457260,
Halo: The Master Chief Collection,topic_2,,,0.07324839358406500,
Mass Effect: Andromeda,topic_3,,,,0.5537637068377300
Hogwarts Legacy,topic_3,,,,0.5194258458675820
Anthem,topic_3,,,,0.5037483616809670
Furi,topic_3,,,,0.48881875199601000
SimCity (2013),topic_3,,,,0.47929879486924300
