game_name, top_topics
APEX Legends,"topic_0:0.533, topic_1:0.325, topic_2:0.073, topic_3:0.069"
Anthem,"topic_3:0.504, topic_0:0.329, topic_1:0.102, topic_2:0.066"
Assasin's Creed Unity,"topic_0:0.441, topic_3:0.362, topic_1:0.148, topic_2:0.049"
Baldur's Gate 3,"topic_3:0.451, topic_0:0.363, topic_1:0.134, topic_2:0.053"
Batman: Arkham Knight,"topic_3:0.445, topic_0:0.367, topic_1:0.137, topic_2:0.052"
Battlefield 2042,"topic_0:0.619, topic_1:0.219, topic_3:0.107, topic_2:0.055"
Battlefield 4,"topic_0:0.633, topic_1:0.176, topic_3:0.140, topic_2:0.050"
Call of Duty: Modern Warfare III,"topic_0:0.633, topic_1:0.214, topic_3:0.103, topic_2:0.050"
Call of Duty: Warzone,"topic_0:0.664, topic_1:0.217, topic_2:0.063, topic_3:0.057"
Counter_Strike 2,"topic_0:0.635, topic_1:0.233, topic_3:0.072, topic_2:0.060"
Crash Bandicoot 4: It’s About Time,"topic_3:0.408, topic_0:0.381, topic_1:0.173, topic_2:0.038"
Cuphead,"topic_0:0.461, topic_3:0.316, topic_1:0.165, topic_2:0.058"
Cyberpunk 2077,"topic_3:0.430, topic_0:0.401, topic_1:0.120, topic_2:0.049"
DOTA 2,"topic_0:0.659, topic_1:0.168, topic_2:0.087, topic_3:0.086"
Dark Souls (Remastered),"topic_3:0.418, topic_0:0.364, topic_1:0.166, topic_2:0.052"
Delta Force (2024),"topic_0:0.532, topic_1:0.267, topic_3:0.155, topic_2:0.046"
Devil May Cry 5,"topic_3:0.399, topic_0:0.323, topic_1:0.220, topic_2:0.058"
EA SPORTS FC™ 25,"topic_0:0.534, topic_1:0.350, topic_3:0.061, topic_2:0.055"
Escape From Tarkov,"topic_1:0.574, topic_0:0.295, topic_3:0.083, topic_2:0.047"
Fallout 76,"topic_0:0.504, topic_3:0.266, topic_1:0.176, topic_2:0.054"
Fortnite,"topic_1:0.409, topic_0:0.365, topic_3:0.196, topic_2:0.030"
Furi,"topic_3:0.489, topic_0:0.260, topic_1:0.212, topic_2:0.039"
Genshin Impact,"topic_1:0.406, topic_3:0.387, topic_0:0.168, topic_2:0.039"
Getting Over It with Bennett Foddy,"topic_0:0.519, topic_1:0.269, topic_3:0.155, topic_2:0.057"
Halo: The Master Chief Collection,"topic_0:0.604, topic_3:0.177, topic_1:0.146, topic_2:0.073"
Helldivers 2,"topic_2:0.397, topic_0:0.368, topic_1:0.136, topic_3:0.100"
Hogwarts Legacy,"topic_3:0.519, topic_0:0.340, topic_1:0.097, topic_2:0.043"
Jump King,"topic_0:0.445, topic_1:0.307, topic_3:0.193, topic_2:0.055"
League of Legends,"topic_1:0.724, topic_0:0.183, topic_3:0.051, topic_2:0.042"
Mass Effect: Andromeda,"topic_3:0.554, topic_0:0.278, topic_1:0.136, topic_2:0.033"
Mighty No. 9,"topic_0:0.392, topic_3:0.336, topic_1:0.229, topic_2:0.043"
Mortal Shell,"topic_3:0.455, topic_0:0.285, topic_1:0.236, topic_2:0.024"
No Man's Sky,"topic_3:0.433, topic_0:0.399, topic_1:0.110, topic_2:0.057"
Overwatch 2,"topic_1:0.559, topic_0:0.327, topic_3:0.064, topic_2:0.049"
PUBG: Battlegrounds,"topic_0:0.601, topic_1:0.231, topic_3:0.109, topic_2:0.060"
PalWorld,"topic_3:0.426, topic_0:0.393, topic_1:0.128, topic_2:0.053"
Rainbow 6: Siege,"topic_0:0.614, topic_1:0.255, topic_3:0.073, topic_2:0.058"
Sekiro: Shadows Die Twice,"topic_3:0.380, topic_0:0.342, topic_1:0.230, topic_2:0.049"
SimCity (2013),"topic_3:0.479, topic_1:0.317, topic_0:0.170, topic_2:0.033"
Star Wars Battlefront II,"topic_0:0.569, topic_1:0.177, topic_3:0.154, topic_2:0.100"
Street Fighter V,"topic_0:0.447, topic_1:0.243, topic_3:0.231, topic_2:0.080"
Super Meat Boy,"topic_0:0.393, topic_3:0.285, topic_1:0.250, topic_2:0.072"
The Binding of Isaac: Repentance,"topic_0:0.511, topic_3:0.242, topic_1:0.186, topic_2:0.061"
The Lord of the Rings: Gollum,"topic_0:0.439, topic_3:0.355, topic_1:0.159, topic_2:0.047"
Valorant,"topic_1:0.606, topic_0:0.282, topic_3:0.089, topic_2:0.023"
War Thunder,"topic_0:0.541, topic_1:0.309, topic_3:0.084, topic_2:0.067"
Warcraft III: Reforged,"topic_1:0.448, topic_3:0.267, topic_0:0.227, topic_2:0.058"
