k9_etaNone_drop0_uni_original_top5_games_per_topic
game_name,topic,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
DOTA 2,topic_0,0.5114726384145480,,,,,,,,
Rainbow 6: Siege,topic_0,0.37769690771148200,,,,,,,,
Counter_Strike 2,topic_0,0.33740460581347900,,,,,,,,
Star Wars Battlefront II,topic_0,0.31241965921668700,,,,,,,,
The Binding of Isaac: Repentance,topic_0,0.29982877975295500,,,,,,,,
Valorant,topic_1,,0.5760761484992450,,,,,,,
League of Legends,topic_1,,0.5042209203736000,,,,,,,
Escape From Tarkov,topic_1,,0.4013230330234920,,,,,,,
Overwatch 2,topic_1,,0.36930239322828300,,,,,,,
Warcraft III: Reforged,topic_1,,0.36041098927977300,,,,,,,
Devil May Cry 5,topic_2,,,0.18772607252600000,,,,,,
Jump King,topic_2,,,0.16732747663146900,,,,,,
Overwatch 2,topic_2,,,0.16667663994960400,,,,,,
Super Meat Boy,topic_2,,,0.16392159971855100,,,,,,
War Thunder,topic_2,,,0.15300891490425800,,,,,,
Helldivers 2,topic_3,,,,0.22185741906260400,,,,,
Star Wars Battlefront II,topic_3,,,,0.08348374181606940,,,,,
Super Meat Boy,topic_3,,,,0.05076642736778400,,,,,
DOTA 2,topic_3,,,,0.04991994381500890,,,,,
Getting Over It with Bennett Foddy,topic_3,,,,0.04686198003961550,,,,,
Halo: The Master Chief Collection,topic_4,,,,,0.34990281447102100,,,,
Baldur's Gate 3,topic_4,,,,,0.3143654416657610,,,,
Dark Souls (Remastered),topic_4,,,,,0.29376829878125300,,,,
Cyberpunk 2077,topic_4,,,,,0.2616107278261980,,,,
Sekiro: Shadows Die Twice,topic_4,,,,,0.23978015624826200,,,,
Call of Duty: Modern Warfare III,topic_5,,,,,,0.2933536626811440,,,
Anthem,topic_5,,,,,,0.2865357251333380,,,
Fallout 76,topic_5,,,,,,0.26372668223650600,,,
PalWorld,topic_5,,,,,,0.24684772094251800,,,
Fortnite,topic_5,,,,,,0.24570282505027600,,,
Battlefield 4,topic_6,,,,,,,0.15173303792699800,,
Call of Duty: Warzone,topic_6,,,,,,,0.15142901387734000,,
EA SPORTS FC™ 25,topic_6,,,,,,,0.13422145640947300,,
Assasin's Creed Unity,topic_6,,,,,,,0.12268989182938900,,
Battlefield 2042,topic_6,,,,,,,0.12012127346615200,,
Helldivers 2,topic_7,,,,,,,,0.17304545848514600,
Battlefield 2042,topic_7,,,,,,,,0.05109854574175580,
APEX Legends,topic_7,,,,,,,,0.04792235168582830,
Halo: The Master Chief Collection,topic_7,,,,,,,,0.04457197852414170,
Street Fighter V,topic_7,,,,,,,,0.040346533588910600,
Hogwarts Legacy,topic_8,,,,,,,,,0.3814095253746770
Mass Effect: Andromeda,topic_8,,,,,,,,,0.37031809832899300
Furi,topic_8,,,,,,,,,0.33421718021231800
Mortal Shell,topic_8,,,,,,,,,0.3023511057316690
Anthem,topic_8,,,,,,,,,0.29297570213384500
