k14_etaNone_drop0_bi_frustrated_top5_games_per_topic
game_name,topic,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
Counter_Strike 2,topic_0,0.39981316236008800,,,,,,,,,,,,,
Rainbow 6: Siege,topic_0,0.3513501553617210,,,,,,,,,,,,,
DOTA 2,topic_0,0.3222925563598550,,,,,,,,,,,,,
Call of Duty: Warzone,topic_0,0.28693143762466400,,,,,,,,,,,,,
PUBG: Battlegrounds,topic_0,0.27111118962639300,,,,,,,,,,,,,
Anthem,topic_1,,0.20700733292324000,,,,,,,,,,,,
No Man's Sky,topic_1,,0.1484619885396330,,,,,,,,,,,,
Helldivers 2,topic_1,,0.1447670106213290,,,,,,,,,,,,
Fallout 76,topic_1,,0.138106895364817,,,,,,,,,,,,
Fortnite,topic_1,,0.13165374738679300,,,,,,,,,,,,
Mass Effect: Andromeda,topic_2,,,0.49504696711140700,,,,,,,,,,,
Anthem,topic_2,,,0.38670313041075100,,,,,,,,,,,
Hogwarts Legacy,topic_2,,,0.3791798891376880,,,,,,,,,,,
Baldur's Gate 3,topic_2,,,0.37771631897793800,,,,,,,,,,,
Genshin Impact,topic_2,,,0.3718749237501910,,,,,,,,,,,
League of Legends,topic_3,,,,0.4260276138256980,,,,,,,,,,
Overwatch 2,topic_3,,,,0.25896900949546600,,,,,,,,,,
Genshin Impact,topic_3,,,,0.0779393973065888,,,,,,,,,,
Valorant,topic_3,,,,0.06972586369805170,,,,,,,,,,
Fortnite,topic_3,,,,0.05614914226541360,,,,,,,,,,
Valorant,topic_4,,,,,0.32173380087014800,,,,,,,,,
DOTA 2,topic_4,,,,,0.17564029699438300,,,,,,,,,
Overwatch 2,topic_4,,,,,0.15872598203117000,,,,,,,,,
War Thunder,topic_4,,,,,0.14645597749599000,,,,,,,,,
Escape From Tarkov,topic_4,,,,,0.1391961882740290,,,,,,,,,
PalWorld,topic_5,,,,,,0.17739795731026100,,,,,,,,
The Lord of the Rings: Gollum,topic_5,,,,,,0.17711092374219900,,,,,,,,
Battlefield 2042,topic_5,,,,,,0.15707698320285800,,,,,,,,
War Thunder,topic_5,,,,,,0.15422533790699300,,,,,,,,
Fallout 76,topic_5,,,,,,0.14968094870350900,,,,,,,,
Helldivers 2,topic_6,,,,,,,0.18935854915574200,,,,,,,
Street Fighter V,topic_6,,,,,,,0.052210240089096900,,,,,,,
APEX Legends,topic_6,,,,,,,0.050606855282246200,,,,,,,
Genshin Impact,topic_6,,,,,,,0.047637861637720100,,,,,,,
Anthem,topic_6,,,,,,,0.04737398743236550,,,,,,,
Delta Force (2024),topic_7,,,,,,,,0.22257298620874600,,,,,,
SimCity (2013),topic_7,,,,,,,,0.192434109626447,,,,,,
Call of Duty: Modern Warfare III,topic_7,,,,,,,,0.19051266685850000,,,,,,
Mortal Shell,topic_7,,,,,,,,0.1751933739501670,,,,,,
Battlefield 2042,topic_7,,,,,,,,0.15984007689263300,,,,,,
Helldivers 2,topic_8,,,,,,,,,0.08637349792990220,,,,,
Halo: The Master Chief Collection,topic_8,,,,,,,,,0.05593702389902510,,,,,
Street Fighter V,topic_8,,,,,,,,,0.033016655461559300,,,,,
Assasin's Creed Unity,topic_8,,,,,,,,,0.025916708396667100,,,,,
EA SPORTS FC™ 25,topic_8,,,,,,,,,0.02427629625431910,,,,,
Escape From Tarkov,topic_9,,,,,,,,,,0.27538915570865600,,,,
Battlefield 4,topic_9,,,,,,,,,,0.20332964010546200,,,,
EA SPORTS FC™ 25,topic_9,,,,,,,,,,0.19292684209308600,,,,
SimCity (2013),topic_9,,,,,,,,,,0.15009453411585100,,,,
Call of Duty: Warzone,topic_9,,,,,,,,,,0.14580986082113100,,,,
Helldivers 2,topic_10,,,,,,,,,,,0.10469968289269400,,,
Sekiro: Shadows Die Twice,topic_10,,,,,,,,,,,0.06465273436921990,,,
Jump King,topic_10,,,,,,,,,,,0.044642014434909300,,,
Getting Over It with Bennett Foddy,topic_10,,,,,,,,,,,0.03429551640944560,,,
Mighty No. 9,topic_10,,,,,,,,,,,0.03411230495692210,,,
Mortal Shell,topic_11,,,,,,,,,,,,0.096644375948188,,
Escape From Tarkov,topic_11,,,,,,,,,,,,0.07827963311941170,,
No Man's Sky,topic_11,,,,,,,,,,,,0.07478534252399590,,
War Thunder,topic_11,,,,,,,,,,,,0.07318549735743140,,
Devil May Cry 5,topic_11,,,,,,,,,,,,0.07146502685804080,,
Super Meat Boy,topic_12,,,,,,,,,,,,,0.1470394663988450,
Devil May Cry 5,topic_12,,,,,,,,,,,,,0.14318441150073600,
Cuphead,topic_12,,,,,,,,,,,,,0.09822488751115020,
Getting Over It with Bennett Foddy,topic_12,,,,,,,,,,,,,0.09192589997286640,
Jump King,topic_12,,,,,,,,,,,,,0.09069595884235910,
Getting Over It with Bennett Foddy,topic_13,,,,,,,,,,,,,,0.049167321390696800
Jump King,topic_13,,,,,,,,,,,,,,0.04842903853597570
Super Meat Boy,topic_13,,,,,,,,,,,,,,0.045300362952766300
Cuphead,topic_13,,,,,,,,,,,,,,0.04516033709932
Dark Souls (Remastered),topic_13,,,,,,,,,,,,,,0.03977584918964140
