game_name,top_topics
APEX Legends,"topic_0:0.233, topic_4:0.126, topic_1:0.121, topic_9:0.100, topic_5:0.097"
Anthem,"topic_2:0.387, topic_1:0.207, topic_5:0.080, topic_0:0.079, topic_7:0.071"
Assasin's Creed Unity,"topic_2:0.252, topic_0:0.156, topic_9:0.121, topic_1:0.112, topic_7:0.077"
Baldur's Gate 3,"topic_2:0.378, topic_0:0.116, topic_1:0.076, topic_5:0.069, topic_9:0.066"
Batman: Arkham Knight,"topic_2:0.311, topic_0:0.154, topic_12:0.075, topic_7:0.073, topic_5:0.071"
Battlefield 2042,"topic_7:0.160, topic_5:0.157, topic_0:0.152, topic_9:0.124, topic_1:0.115"
Battlefield 4,"topic_9:0.203, topic_0:0.159, topic_7:0.125, topic_1:0.098, topic_5:0.089"
Call of Duty: Modern Warfare III,"topic_7:0.191, topic_0:0.190, topic_5:0.139, topic_1:0.108, topic_9:0.091"
Call of Duty: Warzone,"topic_0:0.287, topic_9:0.146, topic_7:0.111, topic_5:0.096, topic_1:0.093"
Counter_Strike 2,"topic_0:0.400, topic_1:0.090, topic_4:0.084, topic_12:0.068, topic_5:0.061"
Crash Bandicoot 4: It’s About Time,"topic_2:0.332, topic_1:0.128, topic_0:0.102, topic_7:0.087, topic_4:0.068"
Cuphead,"topic_2:0.221, topic_0:0.189, topic_12:0.098, topic_5:0.091, topic_7:0.066"
Cyberpunk 2077,"topic_2:0.343, topic_0:0.119, topic_1:0.113, topic_5:0.069, topic_9:0.067"
DOTA 2,"topic_0:0.322, topic_4:0.176, topic_1:0.078, topic_2:0.068, topic_5:0.066"
Dark Souls (Remastered),"topic_2:0.297, topic_0:0.170, topic_12:0.076, topic_7:0.074, topic_1:0.061"
Delta Force (2024),"topic_7:0.223, topic_0:0.192, topic_9:0.096, topic_1:0.095, topic_4:0.093"
Devil May Cry 5,"topic_2:0.278, topic_12:0.143, topic_0:0.114, topic_11:0.071, topic_7:0.068"
EA SPORTS FC™ 25,"topic_9:0.193, topic_0:0.184, topic_7:0.137, topic_1:0.123, topic_4:0.109"
Escape From Tarkov,"topic_9:0.275, topic_4:0.139, topic_2:0.106, topic_7:0.079, topic_11:0.078"
Fallout 76,"topic_2:0.261, topic_5:0.150, topic_1:0.138, topic_0:0.100, topic_9:0.090"
Fortnite,"topic_2:0.178, topic_5:0.133, topic_1:0.132, topic_7:0.128, topic_4:0.120"
Furi,"topic_2:0.358, topic_7:0.139, topic_0:0.074, topic_1:0.064, topic_5:0.060"
Genshin Impact,"topic_2:0.372, topic_1:0.106, topic_7:0.092, topic_3:0.078, topic_9:0.069"
Getting Over It with Bennett Foddy,"topic_0:0.254, topic_2:0.138, topic_12:0.092, topic_5:0.076, topic_1:0.075"
Halo: The Master Chief Collection,"topic_2:0.241, topic_0:0.130, topic_9:0.117, topic_5:0.095, topic_1:0.079"
Helldivers 2,"topic_6:0.189, topic_1:0.145, topic_10:0.105, topic_8:0.086, topic_0:0.077"
Hogwarts Legacy,"topic_2:0.379, topic_1:0.124, topic_9:0.101, topic_5:0.096, topic_0:0.071"
Jump King,"topic_0:0.238, topic_2:0.153, topic_12:0.091, topic_1:0.074, topic_5:0.070"
League of Legends,"topic_3:0.426, topic_4:0.113, topic_1:0.070, topic_9:0.069, topic_0:0.064"
Mass Effect: Andromeda,"topic_2:0.495, topic_1:0.101, topic_7:0.074, topic_9:0.070, topic_0:0.060"
Mighty No. 9,"topic_2:0.339, topic_7:0.128, topic_0:0.105, topic_1:0.073, topic_5:0.067"
Mortal Shell,"topic_2:0.336, topic_7:0.175, topic_11:0.097, topic_0:0.091, topic_5:0.071"
No Man's Sky,"topic_2:0.285, topic_1:0.148, topic_5:0.097, topic_9:0.096, topic_0:0.085"
Overwatch 2,"topic_3:0.259, topic_4:0.159, topic_0:0.140, topic_1:0.079, topic_9:0.073"
PUBG: Battlegrounds,"topic_0:0.271, topic_1:0.102, topic_4:0.101, topic_7:0.096, topic_5:0.095"
PalWorld,"topic_2:0.268, topic_5:0.177, topic_0:0.103, topic_1:0.098, topic_9:0.077"
Rainbow 6: Siege,"topic_0:0.351, topic_4:0.090, topic_12:0.089, topic_9:0.077, topic_1:0.073"
Sekiro: Shadows Die Twice,"topic_2:0.253, topic_0:0.146, topic_5:0.103, topic_7:0.070, topic_12:0.070"
SimCity (2013),"topic_2:0.348, topic_7:0.192, topic_9:0.150, topic_1:0.123, topic_5:0.073"
Star Wars Battlefront II,"topic_0:0.210, topic_1:0.105, topic_7:0.101, topic_2:0.098, topic_5:0.093"
Street Fighter V,"topic_2:0.185, topic_1:0.122, topic_0:0.117, topic_5:0.113, topic_7:0.092"
Super Meat Boy,"topic_2:0.173, topic_0:0.166, topic_12:0.147, topic_7:0.109, topic_5:0.070"
The Binding of Isaac: Repentance,"topic_0:0.231, topic_2:0.148, topic_5:0.130, topic_12:0.089, topic_9:0.083"
The Lord of the Rings: Gollum,"topic_2:0.269, topic_5:0.177, topic_0:0.110, topic_1:0.108, topic_7:0.077"
Valorant,"topic_4:0.322, topic_7:0.138, topic_0:0.099, topic_9:0.090, topic_2:0.073"
War Thunder,"topic_0:0.216, topic_5:0.154, topic_4:0.146, topic_1:0.076, topic_11:0.073"
Warcraft III: Reforged,"topic_2:0.224, topic_7:0.156, topic_9:0.144, topic_1:0.118, topic_4:0.077"
