k2_etaNone_drop0_uni_frustrated_top5_games_per_topic
game_name,topic,topic_0,topic_1
Valorant,topic_0,0.9340791818226730,
Fortnite,topic_0,0.9240138829522400,
Anthem,topic_0,0.9238335303962230,
Mass Effect: Andromeda,topic_0,0.9184483641033810,
Mortal Shell,topic_0,0.9124041517816360,
Helldivers 2,topic_1,,0.44409183493806600
Street Fighter V,topic_1,,0.2080726145329520
Overwatch 2,topic_1,,0.19884478587193600
Halo: The Master Chief Collection,topic_1,,0.1796939882103070
Cuphead,topic_1,,0.1702493731235510
