game_name,top_topics
APEX Legends,"topic_0:0.844, topic_1:0.156"
Anthem,"topic_0:0.924, topic_1:0.076"
Assasin's Creed Unity,"topic_0:0.874, topic_1:0.126"
Baldur's Gate 3,"topic_0:0.881, topic_1:0.119"
Batman: Arkham Knight,"topic_0:0.871, topic_1:0.129"
Battlefield 2042,"topic_0:0.851, topic_1:0.149"
Battlefield 4,"topic_0:0.887, topic_1:0.113"
Call of Duty: Modern Warfare III,"topic_0:0.888, topic_1:0.112"
Call of Duty: Warzone,"topic_0:0.874, topic_1:0.126"
Counter_Strike 2,"topic_0:0.875, topic_1:0.125"
Crash Bandicoot 4: It’s About Time,"topic_0:0.891, topic_1:0.109"
Cuphead,"topic_0:0.830, topic_1:0.170"
Cyberpunk 2077,"topic_0:0.876, topic_1:0.124"
DOTA 2,"topic_0:0.863, topic_1:0.137"
Dark Souls (Remastered),"topic_0:0.855, topic_1:0.145"
Delta Force (2024),"topic_0:0.902, topic_1:0.098"
Devil May Cry 5,"topic_0:0.856, topic_1:0.144"
EA SPORTS FC™ 25,"topic_0:0.883, topic_1:0.117"
Escape From Tarkov,"topic_0:0.901, topic_1:0.099"
Fallout 76,"topic_0:0.892, topic_1:0.108"
Fortnite,"topic_0:0.924, topic_1:0.076"
Furi,"topic_0:0.879, topic_1:0.121"
Genshin Impact,"topic_0:0.910, topic_1:0.090"
Getting Over It with Bennett Foddy,"topic_0:0.861, topic_1:0.139"
Halo: The Master Chief Collection,"topic_0:0.820, topic_1:0.180"
Helldivers 2,"topic_0:0.556, topic_1:0.444"
Hogwarts Legacy,"topic_0:0.889, topic_1:0.111"
Jump King,"topic_0:0.863, topic_1:0.137"
League of Legends,"topic_0:0.868, topic_1:0.132"
Mass Effect: Andromeda,"topic_0:0.918, topic_1:0.082"
Mighty No. 9,"topic_0:0.896, topic_1:0.104"
Mortal Shell,"topic_0:0.912, topic_1:0.088"
No Man's Sky,"topic_0:0.893, topic_1:0.107"
Overwatch 2,"topic_0:0.801, topic_1:0.199"
PUBG: Battlegrounds,"topic_0:0.875, topic_1:0.125"
PalWorld,"topic_0:0.880, topic_1:0.120"
Rainbow 6: Siege,"topic_0:0.877, topic_1:0.123"
Sekiro: Shadows Die Twice,"topic_0:0.873, topic_1:0.127"
SimCity (2013),"topic_0:0.907, topic_1:0.093"
Star Wars Battlefront II,"topic_0:0.863, topic_1:0.137"
Street Fighter V,"topic_0:0.792, topic_1:0.208"
Super Meat Boy,"topic_0:0.848, topic_1:0.152"
The Binding of Isaac: Repentance,"topic_0:0.840, topic_1:0.160"
The Lord of the Rings: Gollum,"topic_0:0.887, topic_1:0.113"
Valorant,"topic_0:0.934, topic_1:0.066"
War Thunder,"topic_0:0.858, topic_1:0.142"
Warcraft III: Reforged,"topic_0:0.878, topic_1:0.122"
