k9_etaNone_drop0_uni_frustrated_top5_games_per_topic
game_name,topic,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
Rainbow 6: Siege,topic_0,0.5084447310256320,,,,,,,,
Counter_Strike 2,topic_0,0.4881030720871140,,,,,,,,
Getting Over It with Bennett Foddy,topic_0,0.4779607944307430,,,,,,,,
Jump King,topic_0,0.4493606778451380,,,,,,,,
DOTA 2,topic_0,0.4295428839643990,,,,,,,,
Helldivers 2,topic_1,,0.29153343204198200,,,,,,,
Street Fighter V,topic_1,,0.1337864961723410,,,,,,,
Halo: The Master Chief Collection,topic_1,,0.10507764421319400,,,,,,,
APEX Legends,topic_1,,0.08604063650847220,,,,,,,
The Binding of Isaac: Repentance,topic_1,,0.07213474923233750,,,,,,,
PalWorld,topic_2,,,0.14756297996571200,,,,,,
Batman: Arkham Knight,topic_2,,,0.14045047988330500,,,,,,
Cuphead,topic_2,,,0.11250462147610700,,,,,,
Dark Souls (Remastered),topic_2,,,0.10629938252746500,,,,,,
Super Meat Boy,topic_2,,,0.09733853405215650,,,,,,
Helldivers 2,topic_3,,,,0.17723486484032400,,,,,
Baldur's Gate 3,topic_3,,,,0.1130652626826580,,,,,
Devil May Cry 5,topic_3,,,,0.10618324028751700,,,,,
Sekiro: Shadows Die Twice,topic_3,,,,0.0965562380171661,,,,,
Dark Souls (Remastered),topic_3,,,,0.08711874942233030,,,,,
Battlefield 4,topic_4,,,,,0.3241403762001430,,,,
Battlefield 2042,topic_4,,,,,0.25290408684923300,,,,
EA SPORTS FC™ 25,topic_4,,,,,0.228878265318941,,,,
Hogwarts Legacy,topic_4,,,,,0.22726596129920600,,,,
Assasin's Creed Unity,topic_4,,,,,0.2222706975778480,,,,
Valorant,topic_5,,,,,,0.3595037511530420,,,
Overwatch 2,topic_5,,,,,,0.2394516270491800,,,
League of Legends,topic_5,,,,,,0.19852536092095700,,,
DOTA 2,topic_5,,,,,,0.16910202496795300,,,
Delta Force (2024),topic_5,,,,,,0.14254536653406300,,,
Escape From Tarkov,topic_6,,,,,,,0.3153666438508330,,
SimCity (2013),topic_6,,,,,,,0.24107647556047600,,
Genshin Impact,topic_6,,,,,,,0.2171093923248670,,
EA SPORTS FC™ 25,topic_6,,,,,,,0.2159884684227590,,
Warcraft III: Reforged,topic_6,,,,,,,0.2094709242618750,,
Anthem,topic_7,,,,,,,,0.612746931379661,
Mass Effect: Andromeda,topic_7,,,,,,,,0.6110212453708190,
Mortal Shell,topic_7,,,,,,,,0.5411562651999430,
SimCity (2013),topic_7,,,,,,,,0.5004365224185680,
Furi,topic_7,,,,,,,,0.46673191458416700,
League of Legends,topic_8,,,,,,,,,0.27301552939031200
Overwatch 2,topic_8,,,,,,,,,0.13735180899254800
The Binding of Isaac: Repentance,topic_8,,,,,,,,,0.06382709910337070
Furi,topic_8,,,,,,,,,0.04166326681689280
Genshin Impact,topic_8,,,,,,,,,0.03985164559940180
